city,date,event_id,market_id,label,source_status,tradability,yes_best_ask,yes_20_avg,no_best_ask,no_20_avg,volume,liquidity,unique_accounts,signal_count,top_handles,operator_note,question,resolutionSource
Shanghai,April 26,411991,2065031,20C,source_ok,ok,0.019,0.0234,0.991,0.991,9271.329455999989,2409.46512,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 20°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Shanghai,April 26,411991,2065032,21C,source_ok,ok,0.066,0.0743,0.935,0.935,8729.521220000006,2124.59131,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 21°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Shanghai,April 26,411991,2065033,22C,source_ok,ok,0.35,0.35,0.66,0.66,5803.697221,1946.556,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 22°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Shanghai,April 26,411991,2065037,26C,source_ok,ok,0.012,0.0196,0.989,0.9898,5461.233203999999,2172.53476,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 26°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Shanghai,April 26,411991,2065034,23C,source_ok,ok,0.38,0.3824,0.63,0.63,4505.909907,1461.5851,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 23°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Shanghai,April 26,411991,2065035,24C,source_ok,ok,0.17,0.17,0.87,0.87,3848.4226590000017,1479.5344,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 24°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Tokyo,April 26,411989,2065013,19C,source_ok,ok,0.26,0.2673,0.78,0.78,3982.8639250000047,1419.2492,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 19°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
Tokyo,April 26,411989,2065009,15C,source_ok,ok,0.001,0.0027,,,3844.7513029999986,4362.16046,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 15°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
Tokyo,April 26,411989,2065012,18C,source_ok,ok,0.023,0.0245,0.985,0.985,3440.189106000001,1380.63094,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 18°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
Tokyo,April 26,411989,2065014,20C,source_ok,ok,0.48,0.48,0.56,0.56,2798.6072680000016,860.6458,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 20°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
Tokyo,April 26,411989,2065016,22C,source_ok,ok,0.045,0.061,0.964,0.9663,2767.1545230000006,1238.1507,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 22°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
Tokyo,April 26,411989,2065015,21C,source_ok,ok,0.25,0.25,0.77,0.7769,2122.288959,877.0449,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 21°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
London,April 26,411972,2064824,16C,source_ok,ok,0.038,0.0399,0.97,0.9726,6261.921982999997,5350.7803,20,75,PaulaLolik | jeffkatsu | hgmr2 | poligami | Andyminvest,source+book ready for station/model check,Will the highest temperature in London be 16°C on April 26?,https://www.wunderground.com/history/daily/gb/london/EGLC
London,April 26,411972,2064826,18C,source_ok,ok,0.5,0.5245,0.53,0.53,5271.640409000002,1673.8056,20,75,PaulaLolik | jeffkatsu | hgmr2 | poligami | Andyminvest,source+book ready for station/model check,Will the highest temperature in London be 18°C on April 26?,https://www.wunderground.com/history/daily/gb/london/EGLC
London,April 26,411972,2064828,20C,source_ok,ok,0.04,0.0558,0.964,0.964,5071.665875999999,3713.25436,20,75,PaulaLolik | jeffkatsu | hgmr2 | poligami | Andyminvest,source+book ready for station/model check,Will the highest temperature in London be 20°C on April 26?,https://www.wunderground.com/history/daily/gb/london/EGLC
London,April 26,411972,2064827,19C,source_ok,ok,0.32,0.3255,0.69,0.69,4858.4629380000015,2499.5393,20,75,PaulaLolik | jeffkatsu | hgmr2 | poligami | Andyminvest,source+book ready for station/model check,Will the highest temperature in London be 19°C on April 26?,https://www.wunderground.com/history/daily/gb/london/EGLC
London,April 26,411972,2064822,14C,source_ok,ok,0.002,0.0025,,,3721.652093,14149.70682,20,75,PaulaLolik | jeffkatsu | hgmr2 | poligami | Andyminvest,source+book ready for station/model check,Will the highest temperature in London be 14°C on April 26?,https://www.wunderground.com/history/daily/gb/london/EGLC
London,April 26,411972,2064825,17C,source_ok,ok,0.11,0.1397,0.9,0.9,3630.849332999999,2927.2397,20,75,PaulaLolik | jeffkatsu | hgmr2 | poligami | Andyminvest,source+book ready for station/model check,Will the highest temperature in London be 17°C on April 26?,https://www.wunderground.com/history/daily/gb/london/EGLC
Munich,April 26,411987,2064991,17C,source_ok,ok,0.04,0.1387,0.969,0.969,3362.5991889999987,1566.48387,20,71,PaulaLolik | heimaokuaipao | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | neophyt | Railbird,source+book ready for station/model check,Will the highest temperature in Munich be 17°C on April 26?,https://www.wunderground.com/history/daily/de/munich/EDDM
Munich,April 26,411987,2064993,19C,source_ok,ok,0.42,0.42,0.63,0.63,2177.07674,1361.8644,20,71,PaulaLolik | heimaokuaipao | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | neophyt | Railbird,source+book ready for station/model check,Will the highest temperature in Munich be 19°C on April 26?,https://www.wunderground.com/history/daily/de/munich/EDDM
Munich,April 26,411987,2064994,20C,source_ok,ok,0.115,0.1384,0.919,0.919,2126.8890620000016,1477.26312,20,71,PaulaLolik | heimaokuaipao | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | neophyt | Railbird,source+book ready for station/model check,Will the highest temperature in Munich be 20°C on April 26?,https://www.wunderground.com/history/daily/de/munich/EDDM
Munich,April 26,411987,2064995,21C or higher,source_ok,ok,0.029,0.0397,0.984,0.9841,1707.4420340000001,947.10312,20,71,PaulaLolik | heimaokuaipao | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | neophyt | Railbird,source+book ready for station/model check,Will the highest temperature in Munich be 21°C or higher on April 26?,https://www.wunderground.com/history/daily/de/munich/EDDM
Munich,April 26,411987,2064989,15C,source_ok,ok,0.006,0.0086,0.996,0.9961,1632.807373,4262.11173,20,71,PaulaLolik | heimaokuaipao | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | neophyt | Railbird,source+book ready for station/model check,Will the highest temperature in Munich be 15°C on April 26?,https://www.wunderground.com/history/daily/de/munich/EDDM
Munich,April 26,411987,2064992,18C,source_ok,ok,0.38,0.4289,0.68,0.68,1016.1302189999998,1073.9659,20,71,PaulaLolik | heimaokuaipao | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | neophyt | Railbird,source+book ready for station/model check,Will the highest temperature in Munich be 18°C on April 26?,https://www.wunderground.com/history/daily/de/munich/EDDM
Seoul,April 26,411976,2064870,16C,source_ok,ok,0.002,0.0091,0.999,0.999,9832.542493000003,2540.84521,17,85,PaulaLolik | tinylonglong | hgmr2 | dpnd | StayFreshCheeseBags,source+book ready for station/model check,Will the highest temperature in Seoul be 16°C on April 26?,https://www.wunderground.com/history/daily/kr/incheon/RKSI
Seoul,April 26,411976,2064872,18C,source_ok,ok,0.06,0.06,0.944,0.944,7253.9851149999995,3867.65272,17,85,PaulaLolik | tinylonglong | hgmr2 | dpnd | StayFreshCheeseBags,source+book ready for station/model check,Will the highest temperature in Seoul be 18°C on April 26?,https://www.wunderground.com/history/daily/kr/incheon/RKSI
Seoul,April 26,411976,2064873,19C,source_ok,ok,0.2,0.2,0.84,0.84,7021.171121999998,1679.2522,17,85,PaulaLolik | tinylonglong | hgmr2 | dpnd | StayFreshCheeseBags,source+book ready for station/model check,Will the highest temperature in Seoul be 19°C on April 26?,https://www.wunderground.com/history/daily/kr/incheon/RKSI
Seoul,April 26,411976,2064874,20C or higher,source_ok,ok,0.75,0.75,0.27,0.2803,13101.919346,2046.6543,17,85,PaulaLolik | tinylonglong | hgmr2 | dpnd | StayFreshCheeseBags,source+book ready for station/model check,Will the highest temperature in Seoul be 20°C or higher on April 26?,https://www.wunderground.com/history/daily/kr/incheon/RKSI
Seoul,April 26,411976,2064868,14C,source_ok,ok,0.001,0.0027,,,12012.646735999999,8133.46321,17,85,PaulaLolik | tinylonglong | hgmr2 | dpnd | StayFreshCheeseBags,source+book ready for station/model check,Will the highest temperature in Seoul be 14°C on April 26?,https://www.wunderground.com/history/daily/kr/incheon/RKSI
Seoul,April 26,411976,2064871,17C,source_ok,ok,0.007,0.0094,0.995,0.995,11868.727289999999,2646.70635,17,85,PaulaLolik | tinylonglong | hgmr2 | dpnd | StayFreshCheeseBags,source+book ready for station/model check,Will the highest temperature in Seoul be 17°C on April 26?,https://www.wunderground.com/history/daily/kr/incheon/RKSI
Singapore,April 26,411992,2065048,34C,source_ok,ok,0.17,0.1883,0.86,0.86,5516.633954999998,1251.2227,17,63,hgmr2 | airlorgedr | PaulaLolik | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | dpnd,source+book ready for station/model check,Will the highest temperature in Singapore be 34°C on April 26?,https://www.wunderground.com/history/daily/sg/singapore/WSSS
Singapore,April 26,411992,2065049,35C,source_ok,ok,0.023,0.0528,0.978,0.9788,3567.576327000002,1184.52151,17,63,hgmr2 | airlorgedr | PaulaLolik | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | dpnd,source+book ready for station/model check,Will the highest temperature in Singapore be 35°C on April 26?,https://www.wunderground.com/history/daily/sg/singapore/WSSS
Singapore,April 26,411992,2065044,30C,source_ok,ok,0.013,0.0233,0.988,0.988,3309.1996540000005,1263.49946,17,63,hgmr2 | airlorgedr | PaulaLolik | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | dpnd,source+book ready for station/model check,Will the highest temperature in Singapore be 30°C on April 26?,https://www.wunderground.com/history/daily/sg/singapore/WSSS
Singapore,April 26,411992,2065046,32C,source_ok,ok,0.37,0.3744,0.66,0.66,3108.384634999999,1243.0252,17,63,hgmr2 | airlorgedr | PaulaLolik | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | dpnd,source+book ready for station/model check,Will the highest temperature in Singapore be 32°C on April 26?,https://www.wunderground.com/history/daily/sg/singapore/WSSS
Singapore,April 26,411992,2065045,31C,source_ok,ok,0.1,0.1064,0.92,0.9258,3075.3193859999997,1548.6069,17,63,hgmr2 | airlorgedr | PaulaLolik | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | dpnd,source+book ready for station/model check,Will the highest temperature in Singapore be 31°C on April 26?,https://www.wunderground.com/history/daily/sg/singapore/WSSS
Singapore,April 26,411992,2065047,33C,source_ok,ok,0.43,0.4367,0.62,0.62,2410.3631060000007,864.2926,17,63,hgmr2 | airlorgedr | PaulaLolik | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | dpnd,source+book ready for station/model check,Will the highest temperature in Singapore be 33°C on April 26?,https://www.wunderground.com/history/daily/sg/singapore/WSSS
Wellington,April 26,411985,2064972,20C,source_ok,ok,0.006,0.0087,0.998,0.998,976.0574960000001,1870.53064,17,69,StayFreshCheeseBags | tinylonglong | Poligarch | jeffkatsu | PaulaLolik,source+book ready for station/model check,Will the highest temperature in Wellington be 20°C on April 26?,https://www.wunderground.com/history/daily/nz/wellington/NZWN
Wellington,April 26,411985,2064966,14C,source_ok,ok,0.009,0.013,0.993,0.993,857.3416000000002,1563.53486,17,69,StayFreshCheeseBags | tinylonglong | Poligarch | jeffkatsu | PaulaLolik,source+book ready for station/model check,Will the highest temperature in Wellington be 14°C on April 26?,https://www.wunderground.com/history/daily/nz/wellington/NZWN
Wellington,April 26,411985,2064967,15C,source_ok,ok,0.03,0.0426,0.977,0.977,3863.1072200000003,614.43173,17,69,StayFreshCheeseBags | tinylonglong | Poligarch | jeffkatsu | PaulaLolik,source+book ready for station/model check,Will the highest temperature in Wellington be 15°C on April 26?,https://www.wunderground.com/history/daily/nz/wellington/NZWN
Wellington,April 26,411985,2064968,16C,source_ok,ok,0.33,0.3345,0.75,0.75,3297.167838000001,395.4393,17,69,StayFreshCheeseBags | tinylonglong | Poligarch | jeffkatsu | PaulaLolik,source+book ready for station/model check,Will the highest temperature in Wellington be 16°C on April 26?,https://www.wunderground.com/history/daily/nz/wellington/NZWN
Wellington,April 26,411985,2064969,17C,source_ok,ok,0.47,0.4798,0.56,0.56,2311.2908690000004,658.4572,17,69,StayFreshCheeseBags | tinylonglong | Poligarch | jeffkatsu | PaulaLolik,source+book ready for station/model check,Will the highest temperature in Wellington be 17°C on April 26?,https://www.wunderground.com/history/daily/nz/wellington/NZWN
Wellington,April 26,411985,2064970,18C,source_ok,ok,0.3,0.3,0.75,0.75,1610.9137030000002,562.9578,17,69,StayFreshCheeseBags | tinylonglong | Poligarch | jeffkatsu | PaulaLolik,source+book ready for station/model check,Will the highest temperature in Wellington be 18°C on April 26?,https://www.wunderground.com/history/daily/nz/wellington/NZWN
Taipei,April 26,411996,2065088,27C,source_ok,ok,0.19,0.1971,0.82,0.8218,977.3898899999999,942.2916,16,81,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | Lex-tang,source+book ready for station/model check,Will the highest temperature in Taipei be 27°C on April 26?,https://www.wunderground.com/history/daily/tw/taipei/RCSS
Taipei,April 26,411996,2065089,28C,source_ok,ok,0.36,0.3643,0.65,0.65,706.9723379999999,665.9749,16,81,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | Lex-tang,source+book ready for station/model check,Will the highest temperature in Taipei be 28°C on April 26?,https://www.wunderground.com/history/daily/tw/taipei/RCSS
Taipei,April 26,411996,2065092,31C,source_ok,ok,0.049,0.0508,0.96,0.96,3268.355994000001,1397.55499,16,81,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | Lex-tang,source+book ready for station/model check,Will the highest temperature in Taipei be 31°C on April 26?,https://www.wunderground.com/history/daily/tw/taipei/RCSS
Taipei,April 26,411996,2065087,26C,source_ok,ok,0.05,0.053,0.951,0.951,1624.2572260000004,1697.05532,16,81,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | Lex-tang,source+book ready for station/model check,Will the highest temperature in Taipei be 26°C on April 26?,https://www.wunderground.com/history/daily/tw/taipei/RCSS
Taipei,April 26,411996,2065090,29C,source_ok,ok,0.33,0.3378,0.68,0.68,1188.6911890000001,778.9419,16,81,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | Lex-tang,source+book ready for station/model check,Will the highest temperature in Taipei be 29°C on April 26?,https://www.wunderground.com/history/daily/tw/taipei/RCSS
Taipei,April 26,411996,2065091,30C,source_ok,ok,0.08,0.08,0.93,0.93,1081.3467180000002,1739.1066,16,81,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | Lex-tang,source+book ready for station/model check,Will the highest temperature in Taipei be 30°C on April 26?,https://www.wunderground.com/history/daily/tw/taipei/RCSS
Beijing,April 26,411998,2065109,23C,source_ok,ok,0.011,0.0206,0.99,0.99,3771.4008759999983,2396.2812,16,61,hgmr2 | PaulaLolik | jeffkatsu | Railbird | Andyminvest,source+book ready for station/model check,Will the highest temperature in Beijing be 23°C on April 26?,https://www.wunderground.com/history/daily/cn/beijing/ZBAA
Beijing,April 26,411998,2065110,24C,source_ok,ok,0.18,0.183,0.84,0.84,3088.8988139999988,1604.5904,16,61,hgmr2 | PaulaLolik | jeffkatsu | Railbird | Andyminvest,source+book ready for station/model check,Will the highest temperature in Beijing be 24°C on April 26?,https://www.wunderground.com/history/daily/cn/beijing/ZBAA
Beijing,April 26,411998,2065115,29C,source_ok,ok,0.009,0.0114,0.995,0.995,2282.906047,2106.68453,16,61,hgmr2 | PaulaLolik | jeffkatsu | Railbird | Andyminvest,source+book ready for station/model check,Will the highest temperature in Beijing be 29°C on April 26?,https://www.wunderground.com/history/daily/cn/beijing/ZBAA
Beijing,April 26,411998,2065112,26C,source_ok,ok,0.34,0.3461,0.7,0.7,2081.9433059999997,880.7893,16,61,hgmr2 | PaulaLolik | jeffkatsu | Railbird | Andyminvest,source+book ready for station/model check,Will the highest temperature in Beijing be 26°C on April 26?,https://www.wunderground.com/history/daily/cn/beijing/ZBAA
Beijing,April 26,411998,2065111,25C,source_ok,ok,0.41,0.4213,0.6,0.6,1909.933589999999,2029.7101,16,61,hgmr2 | PaulaLolik | jeffkatsu | Railbird | Andyminvest,source+book ready for station/model check,Will the highest temperature in Beijing be 25°C on April 26?,https://www.wunderground.com/history/daily/cn/beijing/ZBAA
Beijing,April 26,411998,2065113,27C,source_ok,ok,0.06,0.0815,0.95,0.9576,1182.380423,1409.2541,16,61,hgmr2 | PaulaLolik | jeffkatsu | Railbird | Andyminvest,source+book ready for station/model check,Will the highest temperature in Beijing be 27°C on April 26?,https://www.wunderground.com/history/daily/cn/beijing/ZBAA
Ankara,April 26,411984,2064958,19C,source_ok,ok,0.15,0.2074,0.94,0.9429,3456.3262840000007,1323.5394,16,57,PaulaLolik | heimaokuaipao | Poligarch | dpnd | Lex-tang,source+book ready for station/model check,Will the highest temperature in Ankara be 19°C on April 26?,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
Ankara,April 26,411984,2064957,18C,source_ok,ok,0.022,0.0292,0.98,0.98,2821.0609159999985,2880.0891,16,57,PaulaLolik | heimaokuaipao | Poligarch | dpnd | Lex-tang,source+book ready for station/model check,Will the highest temperature in Ankara be 18°C on April 26?,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
Ankara,April 26,411984,2064956,17C,source_ok,ok,0.01,0.0134,0.995,0.995,2028.6463109999997,1902.24547,16,57,PaulaLolik | heimaokuaipao | Poligarch | dpnd | Lex-tang,source+book ready for station/model check,Will the highest temperature in Ankara be 17°C on April 26?,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
Ankara,April 26,411984,2064960,21C,source_ok,ok,0.45,0.4682,0.661,0.661,1961.74678,1122.11104,16,57,PaulaLolik | heimaokuaipao | Poligarch | dpnd | Lex-tang,source+book ready for station/model check,Will the highest temperature in Ankara be 21°C on April 26?,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
Ankara,April 26,411984,2064959,20C,source_ok,ok,0.33,0.3332,0.71,0.7388,1788.5865320000003,1152.7955,16,57,PaulaLolik | heimaokuaipao | Poligarch | dpnd | Lex-tang,source+book ready for station/model check,Will the highest temperature in Ankara be 20°C on April 26?,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
Ankara,April 26,411984,2064961,22C,source_ok,ok,0.093,0.1344,0.94,0.94,1783.7829509999997,1465.04712,16,57,PaulaLolik | heimaokuaipao | Poligarch | dpnd | Lex-tang,source+book ready for station/model check,Will the highest temperature in Ankara be 22°C on April 26?,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
Milan,April 26,411993,2065058,26C,source_ok,ok,0.38,0.389,0.64,0.64,2492.055773,1571.1846,16,50,Railbird | PaulaLolik | heimaokuaipao | neophyt | dpnd,source+book ready for station/model check,Will the highest temperature in Milan be 26°C on April 26?,https://www.wunderground.com/history/daily/it/milan/LIMC
Milan,April 26,411993,2065053,21C,source_ok,ok,0.002,0.0061,0.999,0.999,2474.257283,8637.67009,16,50,Railbird | PaulaLolik | heimaokuaipao | neophyt | dpnd,source+book ready for station/model check,Will the highest temperature in Milan be 21°C on April 26?,https://www.wunderground.com/history/daily/it/milan/LIMC
Milan,April 26,411993,2065056,24C,source_ok,ok,0.11,0.1238,0.93,0.93,2451.768434,1749.8959,16,50,Railbird | PaulaLolik | heimaokuaipao | neophyt | dpnd,source+book ready for station/model check,Will the highest temperature in Milan be 24°C on April 26?,https://www.wunderground.com/history/daily/it/milan/LIMC
Milan,April 26,411993,2065059,27C,source_ok,ok,0.11,0.117,0.9,0.9218,1952.247175999999,2367.1214,16,50,Railbird | PaulaLolik | heimaokuaipao | neophyt | dpnd,source+book ready for station/model check,Will the highest temperature in Milan be 27°C on April 26?,https://www.wunderground.com/history/daily/it/milan/LIMC
Milan,April 26,411993,2065057,25C,source_ok,ok,0.45,0.45,0.57,0.5815,1679.7541989999997,1163.8009,16,50,Railbird | PaulaLolik | heimaokuaipao | neophyt | dpnd,source+book ready for station/model check,Will the highest temperature in Milan be 25°C on April 26?,https://www.wunderground.com/history/daily/it/milan/LIMC
Milan,April 26,411993,2065060,28C,source_ok,ok,0.018,0.0197,0.99,0.99,1496.5845390000006,2217.17959,16,50,Railbird | PaulaLolik | heimaokuaipao | neophyt | dpnd,source+book ready for station/model check,Will the highest temperature in Milan be 28°C on April 26?,https://www.wunderground.com/history/daily/it/milan/LIMC
Moscow,April 26,412007,2065212,14C,source_missing,ok,0.005,0.0061,0.996,0.996,4404.173582,4698.97774,14,51,dpnd | ColdMath | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | PaulaLolik | oleksiyz,do not trade before source/book completion,Will the highest temperature in Moscow be 14°C on April 26?,
Moscow,April 26,412007,2065213,15C,source_missing,ok,0.004,0.0052,0.997,0.9975,2615.3120059999997,7717.60161,14,51,dpnd | ColdMath | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | PaulaLolik | oleksiyz,do not trade before source/book completion,Will the highest temperature in Moscow be 15°C on April 26?,
Moscow,April 26,412007,2065209,11C,source_missing,ok,0.22,0.2291,0.82,0.8607,1480.0456089999998,798.0805,14,51,dpnd | ColdMath | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | PaulaLolik | oleksiyz,do not trade before source/book completion,Will the highest temperature in Moscow be 11°C on April 26?,
Moscow,April 26,412007,2065210,12C,source_missing,ok,0.011,0.0174,0.99,0.99,14325.090069999998,2127.04808,14,51,dpnd | ColdMath | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | PaulaLolik | oleksiyz,do not trade before source/book completion,Will the highest temperature in Moscow be 12°C on April 26?,
Moscow,April 26,412007,2065206,8C,source_missing,ok,0.13,0.1508,0.91,0.9154,1254.0201829999996,1114.9332,14,51,dpnd | ColdMath | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | PaulaLolik | oleksiyz,do not trade before source/book completion,Will the highest temperature in Moscow be 8°C on April 26?,
Moscow,April 26,412007,2065211,13C,source_missing,ok,0.03,0.0467,0.99,0.99,11540.781989999998,2206.63256,14,51,dpnd | ColdMath | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210 | PaulaLolik | oleksiyz,do not trade before source/book completion,Will the highest temperature in Moscow be 13°C on April 26?,
