city,date,station,station_forecast_max_c,side,temp,unit,kind,station_prob,ask,fill20_avg,edge,near_original_candidate,accounts,consensus_side,consensus_top_temp,recommendation,blockers,question,url
Seoul,April 26,RKSI,18,NO,20,C,higher,0.858,0.28,0.2934,0.578,False,10,NO,17°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 20°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Munich,April 26,EDDM,20,YES,21,C,higher,0.3605,0.029,0.0346,0.3315,False,11,NO,16°C,paper_micro_strict_limit,,Will the highest temperature in Munich be 21°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Seoul,April 26,RKSI,18,YES,18,C,exact,0.279,0.067,0.0825,0.212,False,10,NO,17°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 26,RKSI,18,YES,17,C,exact,0.2185,0.011,0.0269,0.2075,False,10,NO,17°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 17°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 27,RKSI,16,YES,15,C,exact,0.2185,0.029,0.0514,0.1895,False,6,NO,15°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 15°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Munich,April 26,EDDM,20,NO,18,C,exact,0.8951,0.71,0.71,0.1851,True,11,NO,16°C,paper_micro_strict_limit,,Will the highest temperature in Munich be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
London,April 26,EGLC,18,NO,18,C,exact,0.721,0.54,0.555,0.181,True,11,NO,20°C,paper_micro_strict_limit,,Will the highest temperature in London be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Shanghai,April 26,ZSPD,22,YES,21,C,exact,0.2185,0.047,0.0713,0.1715,False,10,NO,21°C,paper_micro_strict_limit,,Will the highest temperature in Shanghai be 21°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Beijing,April 26,ZBAA,26,NO,25,C,exact,0.7815,0.61,0.61,0.1715,False,8,NO,22°C,paper_micro_strict_limit,,Will the highest temperature in Beijing be 25°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Seoul,April 27,RKSI,16,NO,19,C,exact,0.9691,0.82,0.82,0.1491,False,6,NO,15°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 19°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Shanghai,April 26,ZSPD,22,NO,23,C,exact,0.7815,0.64,0.64,0.1415,False,10,NO,21°C,paper_micro_strict_limit,,Will the highest temperature in Shanghai be 23°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Ankara,April 26,LTAC,21,YES,22,C,exact,0.2185,0.079,0.0799,0.1395,False,9,NO,18°C,paper_micro_strict_limit,,Will the highest temperature in Ankara be 22°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Seoul,April 27,RKSI,16,YES,16,C,exact,0.279,0.14,0.1699,0.139,True,6,NO,15°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 16°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Munich,April 26,EDDM,20,NO,19,C,exact,0.7815,0.65,0.6508,0.1315,False,11,NO,16°C,paper_micro_strict_limit,,Will the highest temperature in Munich be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Beijing,April 26,ZBAA,26,YES,27,C,exact,0.2185,0.09,0.1058,0.1285,False,8,NO,22°C,paper_micro_strict_limit,,Will the highest temperature in Beijing be 27°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Shanghai,April 27,ZSPD,26,YES,25,C,exact,0.2185,0.09,0.1506,0.1285,False,3,NO,24°C,paper_micro_strict_limit,,Will the highest temperature in Shanghai be 25°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Ankara,April 26,LTAC,21,YES,23,C,higher,0.142,0.019,0.0356,0.123,False,9,NO,18°C,paper_micro_strict_limit,,Will the highest temperature in Ankara be 23°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Ankara,April 26,LTAC,21,NO,20,C,exact,0.7815,0.7,0.7068,0.0815,True,9,NO,18°C,paper_micro_strict_limit,,Will the highest temperature in Ankara be 20°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Beijing,April 26,ZBAA,26,NO,24,C,exact,0.8951,0.82,0.82,0.0751,True,8,NO,22°C,paper_micro_strict_limit,,Will the highest temperature in Beijing be 24°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Seoul,April 27,RKSI,16,NO,18,C,exact,0.8951,0.78,0.78,0.1151,False,6,NO,15°C,watch_source_book,,Will the highest temperature in Seoul be 18°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Shanghai,April 27,ZSPD,26,NO,27,C,exact,0.7815,0.68,0.6931,0.1015,False,3,NO,24°C,watch_source_book,,Will the highest temperature in Shanghai be 27°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Shanghai,April 26,ZSPD,22,YES,20,C,exact,0.1049,0.01,0.0439,0.0949,False,10,NO,21°C,watch_source_book,,Will the highest temperature in Shanghai be 20°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Seoul,April 26,RKSI,18,YES,16,C,exact,0.1049,0.01,0.0152,0.0949,False,10,NO,17°C,watch_source_book,,Will the highest temperature in Seoul be 16°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 27,RKSI,16,NO,20,C,exact,0.9944,0.9,0.9,0.0944,False,6,NO,15°C,watch_source_book,,Will the highest temperature in Seoul be 20°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Seoul,April 27,RKSI,16,YES,14,C,exact,0.1049,0.016,0.031,0.0889,False,6,NO,15°C,watch_source_book,,Will the highest temperature in Seoul be 14°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Beijing,April 26,ZBAA,26,YES,28,C,exact,0.1049,0.02,0.0316,0.0849,False,8,NO,22°C,watch_source_book,,Will the highest temperature in Beijing be 28°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
London,April 26,EGLC,18,YES,20,C,exact,0.1049,0.027,0.0833,0.0779,False,11,NO,20°C,watch_only,slippage_consumes_edge20,Will the highest temperature in London be 20°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Munich,April 26,EDDM,20,YES,20,C,exact,0.279,0.21,0.216,0.069,False,11,NO,16°C,watch_source_book,,Will the highest temperature in Munich be 20°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Shanghai,April 27,ZSPD,26,YES,24,C,exact,0.1049,0.036,0.039,0.0689,False,3,NO,24°C,watch_source_book,,Will the highest temperature in Shanghai be 24°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Shanghai,April 26,ZSPD,22,NO,25,C,exact,0.9691,0.906,0.906,0.0631,False,10,NO,21°C,watch_source_book,,Will the highest temperature in Shanghai be 25°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
London,April 26,EGLC,18,YES,16,C,exact,0.1049,0.048,0.0534,0.0569,False,11,NO,20°C,watch_source_book,,Will the highest temperature in London be 16°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Ankara,April 26,LTAC,21,NO,21,C,exact,0.721,0.674,0.6744,0.047,False,9,NO,18°C,watch_source_book,,Will the highest temperature in Ankara be 21°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Shanghai,April 26,ZSPD,22,NO,22,C,exact,0.721,0.68,0.68,0.041,False,10,NO,21°C,watch_source_book,,Will the highest temperature in Shanghai be 22°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Seoul,April 27,RKSI,16,NO,21,C,exact,0.9994,0.97,0.9706,0.0294,False,6,NO,15°C,watch_only,weak_model_edge|priced_in,Will the highest temperature in Seoul be 21°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Shanghai,April 26,ZSPD,22,YES,19,C,exact,0.0309,0.002,0.0256,0.0289,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Seoul,April 26,RKSI,18,YES,15,C,exact,0.0309,0.002,0.0072,0.0289,False,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 15°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Shanghai,April 26,ZSPD,22,NO,24,C,exact,0.8951,0.87,0.8765,0.0251,True,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 24°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Seoul,April 27,RKSI,16,YES,13,C,below,0.0371,0.012,0.0371,0.0251,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 13°C or below on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
London,April 26,EGLC,18,YES,15,C,exact,0.0309,0.008,0.0231,0.0229,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 15°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
London,April 26,EGLC,18,YES,21,C,exact,0.0309,0.009,0.0234,0.0219,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 21°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Seoul,April 27,RKSI,16,NO,22,C,exact,1.0,0.98,0.98,0.02,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Seoul be 22°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Beijing,April 26,ZBAA,26,YES,26,C,exact,0.279,0.26,0.2693,0.019,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 26°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Seoul,April 27,RKSI,16,YES,17,C,exact,0.2185,0.2,0.2184,0.0185,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 17°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Beijing,April 26,ZBAA,26,YES,29,C,exact,0.0309,0.015,0.0228,0.0159,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 29°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Shanghai,April 27,ZSPD,26,YES,29,C,exact,0.0309,0.019,0.0347,0.0119,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 29°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Munich,April 26,EDDM,20,NO,17,C,exact,0.9691,0.958,0.958,0.0111,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Munich be 17°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Shanghai,April 27,ZSPD,26,YES,23,C,exact,0.0309,0.02,0.0276,0.0109,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 23°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Seoul,April 27,RKSI,16,NO,23,C,higher,1.0,0.99,0.99,0.01,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Seoul be 23°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Shanghai,April 27,ZSPD,26,NO,21,C,below,0.9993,0.99,0.99,0.0093,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 21°C or below on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Shanghai,April 27,ZSPD,26,NO,31,C,higher,0.9993,0.99,0.99,0.0093,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 31°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Shanghai,April 26,ZSPD,22,NO,26,C,exact,0.9944,0.989,0.989,0.0054,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 26°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Beijing,April 26,ZBAA,26,NO,21,C,exact,0.9994,0.994,0.994,0.0054,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Beijing be 21°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Beijing,April 26,ZBAA,26,YES,23,C,exact,0.0309,0.026,0.0464,0.0049,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 23°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Seoul,April 26,RKSI,18,YES,14,C,exact,0.0056,0.001,0.0063,0.0046,False,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 14°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Shanghai,April 27,ZSPD,26,NO,30,C,exact,0.9944,0.99,0.99,0.0044,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 30°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Shanghai,April 26,ZSPD,22,YES,18,C,below,0.0062,0.002,0.0103,0.0042,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 18°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Munich,April 26,EDDM,20,NO,16,C,exact,0.9944,0.991,0.991,0.0034,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Munich be 16°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
London,April 26,EGLC,18,YES,22,C,higher,0.0062,0.003,0.0239,0.0032,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 22°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
London,April 26,EGLC,18,YES,14,C,exact,0.0056,0.003,0.003,0.0026,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 14°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Munich,April 26,EDDM,20,NO,15,C,exact,0.9994,0.997,0.997,0.0024,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Munich be 15°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Munich,April 26,EDDM,20,NO,14,C,exact,1.0,0.998,0.998,0.002,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Munich be 14°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Shanghai,April 26,ZSPD,22,NO,27,C,exact,0.9994,0.998,0.998,0.0014,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 27°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Ankara,April 26,LTAC,21,NO,16,C,exact,0.9994,0.998,0.998,0.0014,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Ankara be 16°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Shanghai,April 26,ZSPD,22,NO,28,C,higher,1.0,0.999,0.999,0.001,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 28°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Ankara,April 26,LTAC,21,NO,13,C,below,1.0,0.999,0.999,0.001,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Ankara be 13°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Ankara,April 26,LTAC,21,NO,14,C,exact,1.0,0.999,0.999,0.001,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Ankara be 14°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Ankara,April 26,LTAC,21,NO,15,C,exact,1.0,0.999,0.999,0.001,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Ankara be 15°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Beijing,April 26,ZBAA,26,NO,22,C,exact,0.9944,0.994,0.994,0.0004,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Beijing be 22°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Shanghai,April 27,ZSPD,26,NO,22,C,exact,0.9944,0.994,0.994,0.0004,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 22°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
London,April 26,EGLC,18,YES,13,C,exact,0.0006,0.001,0.0027,-0.0004,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 13°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Seoul,April 26,RKSI,18,YES,13,C,exact,0.0006,0.001,0.0076,-0.0004,False,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 13°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Ankara,April 26,LTAC,21,NO,17,C,exact,0.9944,0.995,0.995,-0.0006,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Ankara be 17°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Munich,April 26,EDDM,20,YES,11,C,below,0.0,0.001,0.0097,-0.001,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Munich be 11°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Munich,April 26,EDDM,20,YES,12,C,exact,0.0,0.001,0.0119,-0.001,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Munich be 12°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Munich,April 26,EDDM,20,YES,13,C,exact,0.0,0.001,0.0119,-0.001,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Munich be 13°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
London,April 26,EGLC,18,YES,12,C,below,0.0,0.001,0.0055,-0.001,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 12°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Seoul,April 26,RKSI,18,YES,10,C,below,0.0,0.001,0.0101,-0.001,False,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 10°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 26,RKSI,18,YES,12,C,exact,0.0,0.001,0.0054,-0.001,False,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 12°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Beijing,April 26,ZBAA,26,YES,20,C,below,0.0,0.001,0.0126,-0.001,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 20°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Beijing,April 26,ZBAA,26,YES,22,C,exact,0.0056,0.007,0.0388,-0.0014,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 22°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
London,April 26,EGLC,18,YES,19,C,exact,0.2185,0.22,0.2411,-0.0015,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Seoul,April 26,RKSI,18,YES,19,C,exact,0.2185,0.22,0.2229,-0.0015,True,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Shanghai,April 26,ZSPD,22,YES,28,C,higher,0.0,0.002,0.0119,-0.002,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 28°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Seoul,April 26,RKSI,18,YES,11,C,exact,0.0,0.002,0.0054,-0.002,False,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 11°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Shanghai,April 26,ZSPD,22,YES,27,C,exact,0.0006,0.003,0.0166,-0.0024,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 27°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Beijing,April 26,ZBAA,26,YES,30,C,higher,0.0062,0.009,0.021,-0.0028,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 30°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Beijing,April 26,ZBAA,26,NO,30,C,higher,0.9938,0.997,0.9972,-0.0032,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Beijing be 30°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Ankara,April 26,LTAC,21,YES,13,C,below,0.0,0.004,0.0104,-0.004,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Ankara be 13°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
