city,date,station,station_forecast_max_c,side,temp,unit,kind,station_prob,ask,fill20_avg,edge,near_original_candidate,accounts,consensus_side,consensus_top_temp,recommendation,blockers,question,url
Ankara,April 26,LTAC,21,YES,14,C,exact,0.0,0.004,0.0099,-0.004,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Ankara be 14°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
London,April 26,EGLC,18,NO,22,C,higher,0.9938,0.998,0.998,-0.0042,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in London be 22°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Munich,April 26,EDDM,20,YES,16,C,exact,0.0056,0.01,0.0349,-0.0044,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Munich be 16°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Ankara,April 26,LTAC,21,YES,17,C,exact,0.0056,0.01,0.0353,-0.0044,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Ankara be 17°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Shanghai,April 27,ZSPD,26,YES,22,C,exact,0.0056,0.01,0.0254,-0.0044,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 22°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Ankara,April 26,LTAC,21,NO,19,C,exact,0.8951,0.9,0.9,-0.0049,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Ankara be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Munich,April 26,EDDM,20,YES,14,C,exact,0.0,0.005,0.0167,-0.005,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Munich be 14°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Ankara,April 26,LTAC,21,YES,15,C,exact,0.0,0.005,0.0139,-0.005,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Ankara be 15°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Shanghai,April 27,ZSPD,26,YES,28,C,exact,0.1049,0.11,0.1515,-0.0051,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 28°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Ankara,April 26,LTAC,21,YES,16,C,exact,0.0006,0.006,0.0237,-0.0054,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Ankara be 16°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Beijing,April 26,ZBAA,26,YES,21,C,exact,0.0006,0.007,0.019,-0.0064,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 21°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Beijing,April 26,ZBAA,26,NO,23,C,exact,0.9691,0.976,0.9809,-0.0069,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Beijing be 23°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Munich,April 26,EDDM,20,YES,15,C,exact,0.0006,0.008,0.033,-0.0074,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Munich be 15°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
London,April 26,EGLC,18,NO,17,C,exact,0.7815,0.79,0.793,-0.0085,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 17°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Ankara,April 26,LTAC,21,NO,18,C,exact,0.9691,0.978,0.9799,-0.0089,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Ankara be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Shanghai,April 27,ZSPD,26,NO,26,C,exact,0.721,0.73,0.7636,-0.009,True,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 26°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Shanghai,April 27,ZSPD,26,YES,21,C,below,0.0007,0.011,0.0221,-0.0103,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 21°C or below on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Shanghai,April 27,ZSPD,26,YES,31,C,higher,0.0007,0.011,0.0244,-0.0103,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 31°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Shanghai,April 27,ZSPD,26,YES,30,C,exact,0.0056,0.016,0.0298,-0.0104,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 30°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Shanghai,April 27,ZSPD,26,NO,23,C,exact,0.9691,0.981,0.981,-0.0119,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 23°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Ankara,April 26,LTAC,21,YES,18,C,exact,0.0309,0.043,0.0507,-0.0121,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Ankara be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Shanghai,April 26,ZSPD,22,YES,26,C,exact,0.0056,0.02,0.0582,-0.0144,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 26°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Shanghai,April 27,ZSPD,26,NO,28,C,exact,0.8951,0.91,0.91,-0.0149,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 28°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
London,April 26,EGLC,18,NO,19,C,exact,0.7815,0.8,0.8079,-0.0185,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Shanghai,April 27,ZSPD,26,NO,29,C,exact,0.9691,0.989,0.989,-0.0199,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 29°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Seoul,April 27,RKSI,16,YES,23,C,higher,0.0,0.02,0.0281,-0.02,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 23°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
London,April 26,EGLC,18,YES,17,C,exact,0.2185,0.24,0.2427,-0.0215,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 17°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
London,April 26,EGLC,18,NO,15,C,exact,0.9691,0.993,0.993,-0.0239,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in London be 15°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Beijing,April 26,ZBAA,26,NO,29,C,exact,0.9691,0.993,0.9931,-0.0239,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Beijing be 29°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Ankara,April 26,LTAC,21,YES,19,C,exact,0.1049,0.13,0.167,-0.0251,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Ankara be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Seoul,April 27,RKSI,16,NO,13,C,below,0.9629,0.99,0.9942,-0.0271,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Seoul be 13°C or below on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
London,April 26,EGLC,18,NO,21,C,exact,0.9691,0.997,0.997,-0.0279,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in London be 21°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Seoul,April 27,RKSI,16,NO,17,C,exact,0.7815,0.81,0.81,-0.0285,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 17°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Beijing,April 26,ZBAA,26,NO,26,C,exact,0.721,0.75,0.75,-0.029,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 26°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Seoul,April 27,RKSI,16,YES,22,C,exact,0.0,0.029,0.0471,-0.029,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 22°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Shanghai,April 26,ZSPD,22,NO,19,C,exact,0.9691,0.999,0.999,-0.0299,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Munich,April 26,EDDM,20,YES,17,C,exact,0.0309,0.068,0.1259,-0.0371,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Munich be 17°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Seoul,April 26,RKSI,18,NO,19,C,exact,0.7815,0.82,0.82,-0.0385,True,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 27,RKSI,16,YES,21,C,exact,0.0006,0.04,0.0513,-0.0394,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 21°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Shanghai,April 26,ZSPD,22,YES,24,C,exact,0.1049,0.15,0.1656,-0.0451,True,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 24°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Shanghai,April 26,ZSPD,22,YES,22,C,exact,0.279,0.33,0.3318,-0.051,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 22°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Shanghai,April 27,ZSPD,26,YES,26,C,exact,0.279,0.33,0.3368,-0.051,True,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 26°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
London,April 26,EGLC,18,NO,16,C,exact,0.8951,0.959,0.959,-0.0639,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in London be 16°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Shanghai,April 27,ZSPD,26,NO,24,C,exact,0.8951,0.965,0.965,-0.0699,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 24°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Ankara,April 26,LTAC,21,YES,21,C,exact,0.279,0.349,0.3803,-0.07,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Ankara be 21°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
London,April 26,EGLC,18,NO,20,C,exact,0.8951,0.975,0.975,-0.0799,False,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in London be 20°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Shanghai,April 26,ZSPD,22,YES,25,C,exact,0.0309,0.113,0.1499,-0.0821,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 25°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Seoul,April 27,RKSI,16,NO,14,C,exact,0.8951,0.989,0.989,-0.0939,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Seoul be 14°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Beijing,April 26,ZBAA,26,NO,28,C,exact,0.8951,0.99,0.9916,-0.0949,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Beijing be 28°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Beijing,April 26,ZBAA,26,YES,24,C,exact,0.1049,0.2,0.2,-0.0951,True,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 24°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Munich,April 26,EDDM,20,NO,20,C,exact,0.721,0.817,0.8174,-0.096,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Munich be 20°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Shanghai,April 26,ZSPD,22,NO,20,C,exact,0.8951,0.996,0.996,-0.1009,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 20°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Seoul,April 26,RKSI,18,NO,16,C,exact,0.8951,0.996,0.996,-0.1009,False,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Seoul be 16°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Ankara,April 26,LTAC,21,YES,20,C,exact,0.2185,0.32,0.3502,-0.1015,True,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Ankara be 20°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Shanghai,April 27,ZSPD,26,YES,27,C,exact,0.2185,0.35,0.4061,-0.1315,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 27°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Ankara,April 26,LTAC,21,NO,23,C,higher,0.858,0.99,0.99,-0.132,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Ankara be 23°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Seoul,April 27,RKSI,16,YES,18,C,exact,0.1049,0.24,0.24,-0.1351,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 18°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Beijing,April 26,ZBAA,26,NO,27,C,exact,0.7815,0.92,0.92,-0.1385,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 27°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Shanghai,April 27,ZSPD,26,NO,25,C,exact,0.7815,0.93,0.93,-0.1485,False,3,NO,24°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 25°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Munich,April 26,EDDM,20,YES,19,C,exact,0.2185,0.37,0.37,-0.1515,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Munich be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Seoul,April 27,RKSI,16,YES,20,C,exact,0.0056,0.16,0.176,-0.1544,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 20°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Ankara,April 26,LTAC,21,NO,22,C,exact,0.7815,0.943,0.9435,-0.1615,False,9,NO,18°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Ankara be 22°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Seoul,April 27,RKSI,16,YES,19,C,exact,0.0309,0.2,0.2452,-0.1691,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 19°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Shanghai,April 26,ZSPD,22,YES,23,C,exact,0.2185,0.39,0.39,-0.1715,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Shanghai be 23°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Shanghai,April 26,ZSPD,22,NO,21,C,exact,0.7815,0.954,0.954,-0.1725,False,10,NO,21°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Shanghai be 21°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Seoul,April 27,RKSI,16,NO,16,C,exact,0.721,0.9,0.9,-0.179,True,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 16°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Beijing,April 26,ZBAA,26,YES,25,C,exact,0.2185,0.41,0.41,-0.1915,False,8,NO,22°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Beijing be 25°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Seoul,April 27,RKSI,16,NO,15,C,exact,0.7815,0.979,0.979,-0.1975,False,6,NO,15°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Seoul be 15°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Seoul,April 26,RKSI,18,NO,17,C,exact,0.7815,0.993,0.993,-0.2115,False,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Seoul be 17°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Munich,April 26,EDDM,20,YES,18,C,exact,0.1049,0.32,0.32,-0.2151,True,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Munich be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
London,April 26,EGLC,18,YES,18,C,exact,0.279,0.5,0.5025,-0.221,True,11,NO,20°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in London be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Seoul,April 26,RKSI,18,NO,18,C,exact,0.721,0.946,0.9525,-0.225,False,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Seoul be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Munich,April 26,EDDM,20,NO,21,C,higher,0.6395,0.985,0.985,-0.3455,False,11,NO,16°C,watch_only,weak_model_edge|slippage_consumes_edge20|priced_in,Will the highest temperature in Munich be 21°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Seoul,April 26,RKSI,18,YES,20,C,higher,0.142,0.76,0.7622,-0.618,False,10,NO,17°C,watch_only,weak_model_edge|slippage_consumes_edge20,Will the highest temperature in Seoul be 20°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Munich,April 26,EDDM,20,NO,11,C,below,1.0,,,,False,11,NO,16°C,watch_only,empty_book,Will the highest temperature in Munich be 11°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Munich,April 26,EDDM,20,NO,12,C,exact,1.0,,,,False,11,NO,16°C,watch_only,empty_book,Will the highest temperature in Munich be 12°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Munich,April 26,EDDM,20,NO,13,C,exact,1.0,,,,False,11,NO,16°C,watch_only,empty_book,Will the highest temperature in Munich be 13°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
London,April 26,EGLC,18,NO,12,C,below,1.0,,,,False,11,NO,20°C,watch_only,empty_book,Will the highest temperature in London be 12°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
London,April 26,EGLC,18,NO,13,C,exact,0.9994,,,,False,11,NO,20°C,watch_only,empty_book,Will the highest temperature in London be 13°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
London,April 26,EGLC,18,NO,14,C,exact,0.9944,,,,False,11,NO,20°C,watch_only,empty_book,Will the highest temperature in London be 14°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Shanghai,April 26,ZSPD,22,NO,18,C,below,0.9938,,,,False,10,NO,21°C,watch_only,empty_book,Will the highest temperature in Shanghai be 18°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Seoul,April 26,RKSI,18,NO,10,C,below,1.0,,,,False,10,NO,17°C,watch_only,empty_book,Will the highest temperature in Seoul be 10°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 26,RKSI,18,NO,11,C,exact,1.0,,,,False,10,NO,17°C,watch_only,empty_book,Will the highest temperature in Seoul be 11°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 26,RKSI,18,NO,12,C,exact,1.0,,,,False,10,NO,17°C,watch_only,empty_book,Will the highest temperature in Seoul be 12°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 26,RKSI,18,NO,13,C,exact,0.9994,,,,False,10,NO,17°C,watch_only,empty_book,Will the highest temperature in Seoul be 13°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 26,RKSI,18,NO,14,C,exact,0.9944,,,,False,10,NO,17°C,watch_only,empty_book,Will the highest temperature in Seoul be 14°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 26,RKSI,18,NO,15,C,exact,0.9691,,,,False,10,NO,17°C,watch_only,empty_book,Will the highest temperature in Seoul be 15°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Beijing,April 26,ZBAA,26,NO,20,C,below,1.0,,,,False,8,NO,22°C,watch_only,empty_book,Will the highest temperature in Beijing be 20°C or below on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
