action,reject_reason,city,date,station,side,temp,unit,kind,forecast_max_c,p_side,best_bid,best_ask,edge_vs_ask,volume,liquidity,score,held,question,url,resolutionSource
NEW_CANDIDATE,,Karachi,April 27,OPKC,NO,36,C,higher,34,0.858,0.4,0.53,0.328,1877.381722,18088.49379,37.7,False,Will the highest temperature in Karachi be 36°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-karachi-on-april-27-2026,https://www.wunderground.com/history/daily/pk/karachi/OPKC
NEW_CANDIDATE,,Buenos Aires,April 27,SAEZ,YES,18,C,higher,17,0.3605,0.12,0.16,0.2005,4786.294698000001,34550.27875,26.01,False,Will the highest temperature in Buenos Aires be 18°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-27-2026,https://www.wunderground.com/history/daily/ar/ezeiza/SAEZ
NEW_CANDIDATE,,Austin,April 27,KAUS,NO,92,F,higher,33,0.5158,0.24,0.36,0.1558,14147.522092,53641.5008,23.41,False,Will the highest temperature in Austin be 92°F or higher on April 27?,https://polymarket.com/event/highest-temperature-in-austin-on-april-27-2026,https://www.wunderground.com/history/daily/us/tx/austin/KAUS
NEW_CANDIDATE,,Chicago,April 25,KORD,YES,62,F,higher,15,0.1606,0.012,0.02,0.1406,88618.94887699997,10640.26323,26.72,False,Will the highest temperature in Chicago be 62°F or higher on April 25?,https://polymarket.com/event/highest-temperature-in-chicago-on-april-25-2026,https://www.wunderground.com/history/daily/us/il/chicago/KORD
NEW_CANDIDATE,,Chengdu,April 26,ZUUU,NO,26,C,higher,26,0.3605,0.19,0.22,0.1405,15336.885579,71498.31727,22.12,False,Will the highest temperature in Chengdu be 26°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-chengdu-on-april-26-2026,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU
NEW_CANDIDATE,,Milan,April 27,LIMC,YES,26,C,higher,26,0.6395,0.47,0.5,0.1395,4893.274649999999,42351.65705,19.93,False,Will the highest temperature in Milan be 26°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-milan-on-april-27-2026,https://www.wunderground.com/history/daily/it/milan/LIMC
NEW_CANDIDATE,,Karachi,April 26,OPKC,NO,37,C,higher,36,0.6395,0.46,0.5,0.1395,8147.024672999999,22763.36695,20.58,False,Will the highest temperature in Karachi be 37°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-karachi-on-april-26-2026,https://www.wunderground.com/history/daily/pk/karachi/OPKC
NEW_CANDIDATE,,Milan,April 26,LIMC,YES,29,C,higher,27,0.142,0.007,0.009,0.133,17215.479558999996,53221.59055,21.74,False,Will the highest temperature in Milan be 29°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-milan-on-april-26-2026,https://www.wunderground.com/history/daily/it/milan/LIMC
NEW_CANDIDATE,,Toronto,April 25,CYYZ,YES,11,C,higher,9,0.142,0.008,0.01,0.132,25374.762183000006,3063.74157,19.04,False,Will the highest temperature in Toronto be 11°C or higher on April 25?,https://polymarket.com/event/highest-temperature-in-toronto-on-april-25-2026,https://www.wunderground.com/history/daily/ca/mississauga/CYYZ
NEW_CANDIDATE,,Paris,April 26,LFPB,YES,25,C,higher,23,0.142,0.009,0.018,0.124,21814.497463999996,58874.96376,21.76,False,Will the highest temperature in Paris be 25°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-paris-on-april-26-2026,https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB
NEW_CANDIDATE,,Ankara,April 26,LTAC,YES,23,C,higher,21,0.142,0.01,0.02,0.122,16156.203737999998,51351.78456,20.43,False,Will the highest temperature in Ankara be 23°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
HELD_MONITOR,already_held,Seoul,April 26,RKSI,NO,20,C,higher,18,0.858,0.25,0.3,0.558,75938.66424099999,79553.68074,70.8,True,Will the highest temperature in Seoul be 20°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026,https://www.wunderground.com/history/daily/kr/incheon/RKSI
HELD_MONITOR,already_held,Munich,April 26,EDDM,YES,21,C,higher,20,0.3605,0.015,0.043,0.3175,20014.221064999998,56188.00083,40.75,True,Will the highest temperature in Munich be 21°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026,https://www.wunderground.com/history/daily/de/munich/EDDM
REJECT,edge_lt_12pts,Houston,April 26,KHOU,NO,84,F,higher,30,0.1606,0.06,0.07,0.0906,14452.786143,106037.73998,16.95,False,Will the highest temperature in Houston be 84°F or higher on April 26?,https://polymarket.com/event/highest-temperature-in-houston-on-april-26-2026,https://www.wunderground.com/history/daily/us/tx/houston/KHOU
REJECT,edge_lt_12pts,San Francisco,April 26,KSFO,YES,66,F,higher,17,0.1249,0.032,0.035,0.0899,11918.249667,64355.18012,16.37,False,Will the highest temperature in San Francisco be 66°F or higher on April 26?,https://polymarket.com/event/highest-temperature-in-san-francisco-on-april-26-2026,https://www.wunderground.com/history/daily/us/ca/san-francisco/KSFO
REJECT,edge_lt_12pts,Munich,April 27,EDDM,YES,22,C,higher,20,0.142,0.05,0.06,0.082,5980.632009,33968.99022,14.39,False,Will the highest temperature in Munich be 22°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-munich-on-april-27-2026,https://www.wunderground.com/history/daily/de/munich/EDDM
REJECT,edge_lt_12pts,Houston,April 27,KHOU,NO,86,F,higher,31,0.1807,0.08,0.1,0.0807,4642.225614,55375.4924,14.0,False,Will the highest temperature in Houston be 86°F or higher on April 27?,https://polymarket.com/event/highest-temperature-in-houston-on-april-27-2026,https://www.wunderground.com/history/daily/us/tx/houston/KHOU
REJECT,edge_lt_12pts,Panama City,April 25,MPMG,NO,31,C,higher,32,0.142,0.039,0.076,0.066,16851.311388,4334.84703,11.05,False,Will the highest temperature in Panama City be 31°C or higher on April 25?,https://polymarket.com/event/highest-temperature-in-panama-city-on-april-25-2026,https://www.wunderground.com/history/daily/pa/panama-city/MPMG
REJECT,"ask_too_high,edge_lt_12pts",Seattle,April 25,KSEA,YES,62,F,higher,19,0.9689,0.89,0.91,0.0589,22491.13347,17780.57083,14.83,False,Will the highest temperature in Seattle be 62°F or higher on April 25?,https://polymarket.com/event/highest-temperature-in-seattle-on-april-25-2026,https://www.wunderground.com/history/daily/us/wa/seatac/KSEA
REJECT,edge_lt_12pts,Chicago,April 27,KORD,NO,72,F,higher,22,0.4842,0.37,0.44,0.0442,5358.733620000001,38688.60451,10.49,False,Will the highest temperature in Chicago be 72°F or higher on April 27?,https://polymarket.com/event/highest-temperature-in-chicago-on-april-27-2026,https://www.wunderground.com/history/daily/us/il/chicago/KORD
REJECT,"ask_too_high,edge_lt_12pts",Denver,April 26,KBKF,NO,64,F,higher,14,0.9938,0.951,0.952,0.0418,21874.61328399999,61639.68163,13.55,False,Will the highest temperature in Denver be 64°F or higher on April 26?,https://polymarket.com/event/highest-temperature-in-denver-on-april-26-2026,https://www.wunderground.com/history/daily/us/co/aurora/KBKF
REJECT,edge_lt_12pts,Dallas,April 26,KDAL,NO,86,F,higher,31,0.1807,0.13,0.14,0.0407,19609.083771,95108.43966,12.99,False,Will the highest temperature in Dallas be 86°F or higher on April 26?,https://polymarket.com/event/highest-temperature-in-dallas-on-april-26-2026,https://www.wunderground.com/history/daily/us/tx/dallas/KDAL
REJECT,"ask_too_high,edge_lt_12pts",Seattle,April 26,KSEA,YES,64,F,higher,20,0.9629,0.92,0.93,0.0329,12529.917126999997,111431.89523,10.8,False,Will the highest temperature in Seattle be 64°F or higher on April 26?,https://polymarket.com/event/highest-temperature-in-seattle-on-april-26-2026,https://www.wunderground.com/history/daily/us/wa/seatac/KSEA
REJECT,"ask_too_high,edge_lt_12pts",Jeddah,April 26,OEJN,NO,37,C,higher,34,0.9629,0.9,0.93,0.0329,6606.640787999999,30166.68882,9.61,False,Will the highest temperature in Jeddah be 37°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-jeddah-on-april-26-2026,https://www.wunderground.com/history/daily/sa/jeddah/OEJN
REJECT,edge_lt_12pts,London,April 27,EGLC,YES,25,C,higher,22,0.0371,0.005,0.007,0.0301,9259.761136000001,44050.17038,9.86,False,Will the highest temperature in London be 25°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-london-on-april-27-2026,https://www.wunderground.com/history/daily/gb/london/EGLC
REJECT,edge_lt_12pts,Paris,April 27,LFPB,YES,26,C,higher,23,0.0371,0.008,0.009,0.0281,2964.264631,25752.12284,8.4,False,Will the highest temperature in Paris be 26°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-paris-on-april-27-2026,https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB
REJECT,edge_lt_12pts,Tokyo,April 26,RJTT,YES,23,C,higher,20,0.0371,0.009,0.01,0.0271,27515.223678000006,46276.12547,13.21,False,Will the highest temperature in Tokyo be 23°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-tokyo-on-april-26-2026,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
REJECT,edge_lt_12pts,Warsaw,April 27,EPWA,YES,18,C,higher,15,0.0371,0.008,0.01,0.0271,2762.7649720000004,24482.70584,8.26,False,Will the highest temperature in Warsaw be 18°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-warsaw-on-april-27-2026,https://www.wunderground.com/history/daily/pl/warsaw/EPWA
REJECT,edge_lt_12pts,Houston,April 25,KHOU,NO,82,F,higher,30,0.0371,0.009,0.01,0.0271,32323.964867000006,6579.0008,10.82,False,Will the highest temperature in Houston be 82°F or higher on April 25?,https://polymarket.com/event/highest-temperature-in-houston-on-april-25-2026,https://www.wunderground.com/history/daily/us/tx/houston/KHOU
REJECT,edge_lt_12pts,Buenos Aires,April 26,SAEZ,YES,20,C,higher,17,0.0371,0.014,0.015,0.0221,9081.77813,56825.38089,9.02,False,Will the highest temperature in Buenos Aires be 20°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-26-2026,https://www.wunderground.com/history/daily/ar/ezeiza/SAEZ
REJECT,edge_lt_12pts,Warsaw,April 26,EPWA,YES,14,C,higher,11,0.0371,0.007,0.015,0.0221,12741.718900999998,53410.4509,9.76,False,Will the highest temperature in Warsaw be 14°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-warsaw-on-april-26-2026,https://www.wunderground.com/history/daily/pl/warsaw/EPWA
REJECT,"ask_too_high,edge_lt_12pts",Austin,April 26,KAUS,YES,86,F,higher,32,0.9481,0.872,0.93,0.0181,13572.674833,108185.16666,9.53,False,Will the highest temperature in Austin be 86°F or higher on April 26?,https://polymarket.com/event/highest-temperature-in-austin-on-april-26-2026,https://www.wunderground.com/history/daily/us/tx/austin/KAUS
REJECT,edge_lt_12pts,Kuala Lumpur,April 27,WMKK,YES,38,C,higher,35,0.0371,0.01,0.019,0.0181,5883.499408,34068.89158,7.98,False,Will the highest temperature in Kuala Lumpur be 38°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-kuala-lumpur-on-april-27-2026,https://www.wunderground.com/history/daily/my/sepang-district/WMKK
REJECT,"ask_too_high,edge_lt_12pts",Dallas,April 27,KDAL,YES,88,F,higher,33,0.9391,0.867,0.922,0.0171,8813.099011999997,53155.34944,8.48,False,Will the highest temperature in Dallas be 88°F or higher on April 27?,https://polymarket.com/event/highest-temperature-in-dallas-on-april-27-2026,https://www.wunderground.com/history/daily/us/tx/dallas/KDAL
REJECT,edge_lt_12pts,Taipei,April 27,RCSS,YES,34,C,higher,31,0.0371,0.011,0.02,0.0171,5876.30618,25454.86421,7.88,False,Will the highest temperature in Taipei be 34°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-taipei-on-april-27-2026,https://www.wunderground.com/history/daily/tw/taipei/RCSS
REJECT,edge_lt_12pts,Toronto,April 27,CYYZ,YES,20,C,higher,17,0.0371,0.02,0.021,0.0161,2165.549129,16822.10503,6.25,False,Will the highest temperature in Toronto be 20°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-toronto-on-april-27-2026,https://www.wunderground.com/history/daily/ca/mississauga/CYYZ
REJECT,"ask_too_high,edge_lt_12pts",Tokyo,April 27,RJTT,NO,21,C,higher,18,0.9629,0.93,0.95,0.0129,6206.809526,50316.92688,7.53,False,Will the highest temperature in Tokyo be 21°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-tokyo-on-april-27-2026,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
REJECT,"ask_too_high,edge_lt_12pts",Jeddah,April 27,OEJN,NO,38,C,higher,35,0.9629,0.66,0.95,0.0129,1383.290763,20089.15805,6.57,False,Will the highest temperature in Jeddah be 38°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-jeddah-on-april-27-2026,https://www.wunderground.com/history/daily/sa/jeddah/OEJN
REJECT,"ask_too_high,edge_lt_12pts",Seattle,April 27,KSEA,NO,68,F,higher,15,0.9996,0.986,0.987,0.0126,3846.473366,20828.57604,7.03,False,Will the highest temperature in Seattle be 68°F or higher on April 27?,https://polymarket.com/event/highest-temperature-in-seattle-on-april-27-2026,https://www.wunderground.com/history/daily/us/wa/seatac/KSEA
REJECT,"ask_too_high,edge_lt_12pts",Mexico City,April 27,MMMX,YES,23,C,higher,29,1.0,0.982,0.988,0.012,32512.030211999994,59699.24448,12.7,False,Will the highest temperature in Mexico City be 23°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-mexico-city-on-april-27-2026,https://www.wunderground.com/history/daily/mx/mexico-city/MMMX
REJECT,"already_held,ask_too_high,edge_lt_12pts",Seoul,April 27,RKSI,NO,23,C,higher,16,1.0,0.98,0.989,0.011,11073.127671,32014.53551,8.31,True,Will the highest temperature in Seoul be 23°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026,https://www.wunderground.com/history/daily/kr/incheon/RKSI
REJECT,"ask_too_high,edge_lt_12pts",Shanghai,April 27,ZSPD,NO,31,C,higher,26,0.9993,0.989,0.99,0.0093,7840.093396,33896.86833,7.5,False,Will the highest temperature in Shanghai be 31°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
REJECT,"ask_too_high,edge_lt_12pts",Chengdu,April 27,ZUUU,NO,29,C,higher,23,1.0,0.99,0.991,0.009,4020.467623,30160.73598,6.7,False,Will the highest temperature in Chengdu be 29°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-chengdu-on-april-27-2026,https://www.wunderground.com/history/daily/cn/chengdu/ZUUU
REJECT,"ask_too_high,edge_lt_12pts",Chongqing,April 27,ZUCK,NO,25,C,higher,21,0.9938,0.932,0.987,0.0068,1673.5454,34616.99447,6.01,False,Will the highest temperature in Chongqing be 25°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-chongqing-on-april-27-2026,https://www.wunderground.com/history/daily/cn/chongqing/ZUCK
REJECT,"ask_too_high,edge_lt_12pts",Lagos,April 27,DNMM,NO,37,C,higher,33,0.9938,0.93,0.987,0.0068,474.72493000000003,9451.0876,3.14,False,Will the highest temperature in Lagos be 37°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-lagos-on-april-27-2026,https://www.wunderground.com/history/daily/ng/lagos/DNMM
REJECT,edge_lt_12pts,Buenos Aires,April 25,SAEZ,YES,27,C,higher,24,0.0371,0.005,0.031,0.0061,31426.504522000003,188876.23498,11.89,False,Will the highest temperature in Buenos Aires be 27°C or higher on April 25?,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-25-2026,https://www.wunderground.com/history/daily/ar/ezeiza/SAEZ
REJECT,edge_lt_12pts,Shenzhen,April 26,ZGSZ,YES,32,C,higher,29,0.0371,0.012,0.031,0.0061,21740.243555,35425.19382,9.96,False,Will the highest temperature in Shenzhen be 32°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-shenzhen-on-april-26-2026,https://www.wunderground.com/history/daily/cn/shenzhen/ZGSZ
REJECT,"ask_too_high,edge_lt_12pts",Sao Paulo,April 27,SBGR,NO,35,C,higher,28,1.0,0.992,0.995,0.005,5236.601346,24216.99022,6.55,False,Will the highest temperature in Sao Paulo be 35°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-sao-paulo-on-april-27-2026,https://www.wunderground.com/history/daily/br/guarulhos/SBGR
REJECT,"ask_too_high,edge_lt_12pts",Miami,April 27,KMIA,NO,94,F,higher,29,0.9999,0.992,0.995,0.0049,3290.960978,25205.94997,6.15,False,Will the highest temperature in Miami be 94°F or higher on April 27?,https://polymarket.com/event/highest-temperature-in-miami-on-april-27-2026,https://www.wunderground.com/history/daily/us/fl/miami/KMIA
REJECT,"ask_too_high,edge_lt_12pts",Mexico City,April 26,MMMX,YES,26,C,higher,29,0.9938,0.984,0.989,0.0048,32836.673942999994,116540.6085,12.05,False,Will the highest temperature in Mexico City be 26°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-mexico-city-on-april-26-2026,https://www.wunderground.com/history/daily/mx/mexico-city/MMMX
REJECT,"ask_too_high,edge_lt_12pts",Guangzhou,April 27,ZGGG,NO,34,C,higher,30,0.9938,0.982,0.989,0.0048,1379.104995,12621.85902,3.91,False,Will the highest temperature in Guangzhou be 34°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-guangzhou-on-april-27-2026,https://www.wunderground.com/history/daily/cn/guangzhou/ZGGG
REJECT,"ask_too_high,edge_lt_12pts",Wuhan,April 27,ZHHH,NO,30,C,higher,25,0.9993,0.991,0.995,0.0043,1638.514567,28586.73722,5.76,False,Will the highest temperature in Wuhan be 30°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-wuhan-on-april-27-2026,https://www.wunderground.com/history/daily/cn/wuhan/ZHHH
REJECT,"ask_too_high,edge_lt_12pts",Busan,April 26,RKPK,NO,27,C,higher,22,0.9993,0.99,0.995,0.0043,5826.696852999999,28159.3864,6.6,False,Will the highest temperature in Busan be 27°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-busan-on-april-26-2026,https://www.wunderground.com/history/daily/kr/busan/RKPK
REJECT,"ask_too_high,edge_lt_12pts",Cape Town,April 27,FACT,NO,21,C,higher,16,0.9993,0.991,0.995,0.0043,856.082417,17583.73721,5.0,False,Will the highest temperature in Cape Town be 21°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-cape-town-on-april-27-2026,https://www.wunderground.com/history/daily/za/matroosfontein/FACT
REJECT,edge_lt_12pts,Manila,April 26,RPLL,YES,40,C,higher,36,0.0062,0.001,0.002,0.0042,8711.54746,17313.16934,6.49,False,Will the highest temperature in Manila be 40°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-manila-on-april-26-2026,https://www.wunderground.com/history/daily/ph/manila/RPLL
REJECT,"ask_too_high,edge_lt_12pts",Los Angeles,April 27,KLAX,NO,74,F,higher,19,0.9981,0.991,0.994,0.0041,4890.2684739999995,20437.48542,6.39,False,Will the highest temperature in Los Angeles be 74°F or higher on April 27?,https://polymarket.com/event/highest-temperature-in-los-angeles-on-april-27-2026,https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX
REJECT,"ask_too_high,edge_lt_12pts",Lagos,April 26,DNMM,NO,37,C,higher,30,1.0,0.99,0.996,0.004,7852.411009,31249.87474,6.97,False,Will the highest temperature in Lagos be 37°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-lagos-on-april-26-2026,https://www.wunderground.com/history/daily/ng/lagos/DNMM
REJECT,"ask_too_high,edge_lt_12pts",Toronto,April 26,CYYZ,NO,18,C,higher,14,0.9938,0.985,0.99,0.0038,15893.660515999998,34866.8624,8.56,False,Will the highest temperature in Toronto be 18°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-toronto-on-april-26-2026,https://www.wunderground.com/history/daily/ca/mississauga/CYYZ
REJECT,"ask_too_high,edge_lt_12pts",Busan,April 27,RKPK,NO,28,C,higher,24,0.9938,0.989,0.99,0.0038,789.941864,33158.66737,5.54,False,Will the highest temperature in Busan be 28°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-busan-on-april-27-2026,https://www.wunderground.com/history/daily/kr/busan/RKPK
REJECT,"ask_too_high,edge_lt_12pts",Miami,April 26,KMIA,NO,92,F,higher,29,0.9981,0.994,0.995,0.0031,21801.384587999997,53789.45497,9.67,False,Will the highest temperature in Miami be 92°F or higher on April 26?,https://polymarket.com/event/highest-temperature-in-miami-on-april-26-2026,https://www.wunderground.com/history/daily/us/fl/miami/KMIA
REJECT,"ask_too_high,edge_lt_12pts",New York City,April 27,KLGA,NO,74,F,higher,19,0.9981,0.991,0.995,0.0031,5394.916318,21269.40802,6.39,False,Will the highest temperature in New York City be 74°F or higher on April 27?,https://polymarket.com/event/highest-temperature-in-nyc-on-april-27-2026,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA
REJECT,"ask_too_high,edge_lt_12pts",Austin,April 25,KAUS,YES,82,F,higher,33,1.0,0.993,0.997,0.003,22478.56439,12237.15639,7.85,False,Will the highest temperature in Austin be 82°F or higher on April 25?,https://polymarket.com/event/highest-temperature-in-austin-on-april-25-2026,https://www.wunderground.com/history/daily/us/tx/austin/KAUS
REJECT,"ask_too_high,edge_lt_12pts",San Francisco,April 25,KSFO,NO,68,F,higher,15,0.9996,0.993,0.997,0.0026,29560.191186000004,10904.68458,8.9,False,Will the highest temperature in San Francisco be 68°F or higher on April 25?,https://polymarket.com/event/highest-temperature-in-san-francisco-on-april-25-2026,https://www.wunderground.com/history/daily/us/ca/san-francisco/KSFO
REJECT,"ask_too_high,edge_lt_12pts",Amsterdam,April 27,EHAM,NO,21,C,higher,16,0.9993,0.995,0.997,0.0023,1045.039467,19141.73171,5.23,False,Will the highest temperature in Amsterdam be 21°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-amsterdam-on-april-27-2026,https://www.wunderground.com/history/daily/nl/schiphol/EHAM
REJECT,edge_lt_12pts,Panama City,April 27,MPMG,NO,32,C,higher,33,0.142,0.13,0.14,0.002,3233.338368,46570.49817,5.85,False,Will the highest temperature in Panama City be 32°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-panama-city-on-april-27-2026,https://www.wunderground.com/history/daily/pa/panama-city/MPMG
REJECT,"ask_too_high,edge_lt_12pts",Atlanta,April 27,KATL,NO,90,F,higher,25,1.0,0.995,0.998,0.002,3504.796662,31134.0132,5.9,False,Will the highest temperature in Atlanta be 90°F or higher on April 27?,https://polymarket.com/event/highest-temperature-in-atlanta-on-april-27-2026,https://www.wunderground.com/history/daily/us/ga/atlanta/KATL
REJECT,"ask_too_high,edge_lt_12pts",Guangzhou,April 26,ZGGG,NO,36,C,higher,31,0.9993,0.994,0.998,0.0013,8468.175405,13669.49463,5.25,False,Will the highest temperature in Guangzhou be 36°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-guangzhou-on-april-26-2026,https://www.wunderground.com/history/daily/cn/guangzhou/ZGGG
REJECT,"ask_too_high,edge_lt_12pts",Los Angeles,April 26,KLAX,NO,74,F,higher,19,0.9981,0.992,0.997,0.0011,8850.395007000001,46625.48773,6.88,False,Will the highest temperature in Los Angeles be 74°F or higher on April 26?,https://polymarket.com/event/highest-temperature-in-los-angeles-on-april-26-2026,https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX
REJECT,"ask_too_high,edge_lt_12pts",New York City,April 26,KLGA,NO,68,F,higher,12,1.0,0.998,0.999,0.001,29242.082319,52382.04611,10.95,False,Will the highest temperature in New York City be 68°F or higher on April 26?,https://polymarket.com/event/highest-temperature-in-nyc-on-april-26-2026,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA
