rank,userName,proxyWallet,xUsername,weather_pnl_usd,weather_volume_usd,pnl_over_volume_pct,classification,confidence,active_positions,active_weather_positions,active_nonweather_positions,recent_activity,recent_weather_activity,recent_nonweather_activity,sample_weather_titles,sample_nonweather_titles,profile_url
1,gopfan2,0xf2f6af4f27ec2dcf4072095ab804016e14cd5817,r_gopfan,343576.69559603644,4571379.83341,7.516,profitable in weather but currently/recently generalist,low,100,1,34,200,0,39,Rangers vs. Hurricanes,Will Congo DR win the 2026 FIFA World Cup? | Will Senegal win the 2026 FIFA World Cup? | Will Kamala Harris win the 2028 US Presidential Election? | Will Brad Lander win the 2025 NYC mayoral election? | Will Trump nominate no one before 2027?,https://polymarket.com/profile/0xf2f6af4f27ec2dcf4072095ab804016e14cd5817
2,aenews2,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,aenews,277050.185099862,9972308.555524996,2.778,not enough public recent data to classify,low,30,0,13,200,0,102,,Will the U.S. invade Iran before 2027? | Will Trump agree to Iranian enrichment of uranium in April? | Trump announces end of military operations against Iran by April 30th? | US-Iran nuclear deal by April 30? | Will Graham Platner be the Democratic nominee for Senate in Maine?,https://polymarket.com/profile/0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1
3,ColdMath,0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,,121335.48080303265,8835337.509752,1.373,weather specialist / weather-heavy,medium,100,97,0,200,192,0,Will the highest temperature in Cape Town be 16°C on April 20? | Will the highest temperature in Ankara be 10°C or higher on March 1? | Will the highest temperature in Wellington be 21°C or higher on February 28? | Will the highest temperature in London be 11°C on April 14? | Will the highest temperature in Ankara be 13°C or higher on March 21? | Will the highest temperature in Lucknow be 35°C on March 5? | Will the highest temperature in Ankara be 7°C on February 26? | Will the highest temperature in Ankara be 8°C or higher on February 26?,,https://polymarket.com/profile/0x594edb9112f526fa6a80b8f858a6379c8a2c1c11
4,gopfan,0x6af75d4e4aaf700450efbac3708cce1665810ff1,,118426.46718552645,739900.9826490001,16.006,weather-heavy mixed,low,0,0,0,200,31,83,Will there be more than 25 named storms during Atlantic Hurricane Season? | Will Ukraine hold Kursk through October 31? | August temperature increase greater than 1.29°C? | August temperature increase by between 1.25-1.29°C? | August temperature increase by between 1.20-1.24°C? | Will Ukraine hold Kursk through Aug 31? | August temperature increase greater than 1.29°C? | August temperature increase by between 1.20-1.24°C?,Will Lee Jun-seok be elected the next president of South Korea? | Will Kanye West win the 2024 US Presidential Election? | Will Lee Jun-seok be elected the next president of South Korea? | Will a Democrat win Nevada US Senate Election? | Will a Republican win Montana US Senate Election?,https://polymarket.com/profile/0x6af75d4e4aaf700450efbac3708cce1665810ff1
5,bama124,0xe5c8026239919339b988fdb150a7ef4ea196d3e7,,86600.54794799998,410556.0700869999,21.093,profitable in weather but currently/recently generalist,low,1,0,0,200,4,66,August temperature increase by between 1.25-1.29°C? | August temperature increase by between 1.20-1.24°C? | August temperature increase greater than 1.29°C? | August temperature increase by between 1.25-1.29°C?,Fed emergency rate cut in 2024? | Will Kamala Harris win the 2024 US Presidential Election? | No Ethereum all time high in 2024? | No Ethereum all time high in 2024? | No Ethereum all time high in 2024?,https://polymarket.com/profile/0xe5c8026239919339b988fdb150a7ef4ea196d3e7
6,Hans323,0x0f37cb80dee49d55b5f6d9e595d52591d6371410,Hans323,80872.367738586,6971546.614699001,1.16,weather-heavy mixed,low,4,0,2,200,55,64,Will the highest temperature in New York City be between 50-51°F on April 21? | Will the highest temperature in New York City be between 50-51°F on April 21? | Will the highest temperature in Manila be 33°C on April 15? | Will the highest temperature in Guangzhou be 30°C or below on April 15? | Will the highest temperature in Manila be 34°C on April 15? | Will the highest temperature in Manila be 34°C on April 15? | Will the highest temperature in Manila be 34°C on April 15? | Will the highest temperature in Manila be 34°C on April 15?,Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination?,https://polymarket.com/profile/0x0f37cb80dee49d55b5f6d9e595d52591d6371410
7,Handsanitizer23,0x05e70727a2e2dcd079baa2ef1c0b88af06bb9641,,71174.40067137999,953274.808,7.466,weather specialist / weather-heavy,medium,21,15,3,200,151,39,Will the highest temperature in Guangzhou be 31°C on April 16? | Will the highest temperature in Shenzhen be 28°C on March 22? | Will the highest temperature in Lucknow be 35°C on March 6? | Will the highest temperature in Lucknow be 36°C or below on March 9? | Will the highest temperature in Seoul be 4°C on March 8? | Will the highest temperature in Dallas be between 72-73°F on March 4? | Will the highest temperature in London be 16°C on March 3? | Will the highest temperature in Dallas be between 84-85°F on March 19?,"Will Bitcoin dip to $68,000 on April 17? | Will the price of Bitcoin be between $64,000 and $66,000 on March 1? | Will Trump say ""Winter Olympic"" or ""Winter Olympics"" this week? (February 22) | Will Bitcoin dip to $68,000 on April 17? | Will Bitcoin dip to $68,000 on April 17?",https://polymarket.com/profile/0x05e70727a2e2dcd079baa2ef1c0b88af06bb9641
8,automatedAItradingbot,0xd8f8c13644ea84d62e1ec88c5d1215e436eb0f11,,64617.332131685274,2362463.7227940005,2.735,weather specialist / weather-heavy,medium,35,18,3,200,119,3,Will the highest temperature in Seoul be 22°C on April 23? | Will the highest temperature in Los Angeles be between 70-71°F on April 19? | Will the highest temperature in Seoul be 17°C on April 17? | Will the highest temperature in Chicago be between 48-49°F on April 19? | Will the highest temperature in Sao Paulo be 28°C on April 19? | Will the highest temperature in Chicago be between 72-73°F on April 15? | Will the highest temperature in Lagos be 32°C on April 19? | Will the highest temperature in San Francisco be between 62-63°F on April 15?,Indian Premier League: Royal Challengers Bangalore vs Gujarat Titans - Who wins the toss? | Indian Premier League: Royal Challengers Bangalore vs Gujarat Titans - Completed match? | Will Jack Della Maddalena be ranked first in the UFC Pound-For-Pound Rankings at the end of 2026? | Will Ty Simpson be drafted in the top 5 picks of the 2026 NFL Draft? | Will annual inflation increase by 3.8% in April?,https://polymarket.com/profile/0xd8f8c13644ea84d62e1ec88c5d1215e436eb0f11
9,BeefSlayer,0x331bf91c132af9d921e1908ca0979363fc47193f,BeefSlayer_,63460.268900016934,1418954.650763,4.472,weather specialist / weather-heavy,medium,5,4,1,200,198,1,Will the highest temperature in Seoul be 20°C on April 25? | Will the highest temperature in Atlanta be 71°F or below on April 25? | Will the highest temperature in Miami be between 86-87°F on April 25? | Will the highest temperature in New York City be between 62-63°F on April 24? | Will the highest temperature in Atlanta be 71°F or below on April 25? | Will the highest temperature in Miami be between 86-87°F on April 25? | Will the highest temperature in Atlanta be 71°F or below on April 25? | Will the highest temperature in Atlanta be 71°F or below on April 25?,Will Shai Gilgeous-Alexander win the 2025–2026 NBA MVP? | Will Cade Cunningham win the 2025–2026 NBA MVP?,https://polymarket.com/profile/0x331bf91c132af9d921e1908ca0979363fc47193f
10,BigMike11,0xecdbd79566a25693b9971c48d7de84bc05f7da79,,62776.720778682255,850755.648137,7.379,weather-heavy mixed,low,1,0,1,200,6,72,Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire by August 31? | Russia x Ukraine ceasefire by August 31?,Will the U.S. invade Iran before 2027? | Will the U.S. invade Iran before 2027? | Will the U.S. invade Iran before 2027? | US forces enter Iran by April 30? | US forces enter Iran by April 30?,https://polymarket.com/profile/0xecdbd79566a25693b9971c48d7de84bc05f7da79
11,Kapii,0xb74711992caf6d04fa55eecc46b8efc95311b050,,57190.1262069312,1833451.173958,3.119,weather-heavy mixed,low,44,4,23,200,1,76,Will global temperature increase by between 0.90–0.94ºC in July 2025? | Will global temperature increase by between 0.95–0.99ºC in July 2025? | Will global temperature increase by between 1.00–1.04ºC in July 2025? | Will global temperature increase by more than 1.19ºC in October 2025 (LS)? | Russia x Ukraine ceasefire in 2025?,"Will Donald Trump visit Germany in 2025? | Will Donald Trump visit South Korea in 2025? | Will Trump and Zelenskyy hug on Monday? | Will Oscar Piastri win the 2025 F1 Hungarian Grand Prix? | Will Trump say ""Thousand / Million / Billion"" 12+ times during Zelensky events on August 18?",https://polymarket.com/profile/0xb74711992caf6d04fa55eecc46b8efc95311b050
12,WeatherTraderBot,0xacc8e9dcabf9d65a5c78e3bec6941ed53a2b7d08,,57179.73756660085,1788233.3255239995,3.198,weather-heavy mixed,low,3,2,0,200,71,107,Will the highest temperature in London be 17°C on March 24? | Will the highest temperature in London be 16°C on March 24? | Will the highest temperature in London be 17°C on March 24? | Will the highest temperature in London be 17°C on March 24? | Will the highest temperature in London be 17°C on March 24? | Will the highest temperature in London be 17°C on March 24? | Will the highest temperature in London be 17°C on March 24? | Will the highest temperature in London be 17°C on March 24?,"Will the GreenLeft–Labour Party alliance win the second most seats in the 2025 Netherlands parliamentary election? | Will Trump say ""Radical left"" 3+ times at Charlie Kirk Memorial Event on September 21? | Will Trump say ""Terrible"" or ""Horrible"" during the announcement on December 19? | Will Trump say ""Biden"" or ""Obama"" while addressing the nation on December 17? | Will Trump say ""Apple"" during the Purple Heart ceremony on August 7?",https://polymarket.com/profile/0xacc8e9dcabf9d65a5c78e3bec6941ed53a2b7d08
13,HondaCivic,0x15ceffed7bf820cd2d90f90ea24ae9909f5cd5fa,0xMarchyel,56197.55982499059,6390837.938782001,0.879,weather specialist / weather-heavy,medium,9,2,1,200,200,0,Will the highest temperature in Ankara be 17°C on April 25? | Will the highest temperature in Ankara be 16°C on April 25? | Will the highest temperature in Warsaw be 16°C on April 25? | Will the highest temperature in Ankara be 15°C on April 25? | Will the highest temperature in Ankara be 17°C on April 25? | Will the highest temperature in Moscow be 8°C on April 25? | Will the highest temperature in Amsterdam be 13°C on April 25? | Will the highest temperature in Ankara be 16°C on April 25?,Will Oscar Piastri be the 2026 F1 Drivers' Champion?,https://polymarket.com/profile/0x15ceffed7bf820cd2d90f90ea24ae9909f5cd5fa
14,aenews-915,0xf1bb700a67e3e8a45dc8160a92f4e0405f41bf09,,55093.07365373363,598139.13582,9.211,weather-heavy mixed,low,1,0,1,200,6,162,Energy infrastructure ceasefire in Ukraine in March?  | Energy infrastructure ceasefire in Ukraine in March?  | Will global temperature increase by between 1.20-1.24ºC in January 2025? | Will global temperature increase by less than 1.20ºC in January 2025? | Will global temperature increase by between 1.20-1.24ºC in January 2025? | Will global temperature increase by less than 1.20ºC in January 2025?,Will Zohran Mamdani win the 2025 NYC mayoral election? | Will Zohran Mamdani win the 2025 NYC mayoral election? | Will Trump sanction Russia before March? | Will Trump sanction Russia before March? | [Single Market] Will Joe Biden win the U.S. 2024 Democratic presidential nomination?,https://polymarket.com/profile/0xf1bb700a67e3e8a45dc8160a92f4e0405f41bf09
15,CoffeeLover,0xc1b399b26020a4f689108e9640fd3dc8ffc8501c,,51421.3304658311,161054.39435400005,31.928,not enough public recent data to classify,low,100,0,81,200,0,27,,Will Aldo Rebelo win the 2026 Brazilian presidential election? | Will Ronaldo Caiado win the 2026 Brazilian presidential election? | Will Camilo Santana win the 2026 Brazilian presidential election? | Will Romeu Zema win the 2026 Brazilian presidential election? | Will Geraldo Alckmin win the 2026 Brazilian presidential election?,https://polymarket.com/profile/0xc1b399b26020a4f689108e9640fd3dc8ffc8501c
16,junkbonds,0xdaad6f960d507dba148c1ff908db5a28743169cc,,51264.800686,864204.68559,5.932,profitable in weather but currently/recently generalist,low,8,0,7,200,2,95,Will global temperature increase by between 1.00ºC and 1.04ºC in September 2025? | Will global temperature increase by between 1.00ºC and 1.04ºC in September 2025?,"Will Iran successfully target shipping on March 31, 2026? | Will Donald Trump visit Germany in 2026? | Will Donald Trump visit the United Kingdom in 2026? | Will Donald Trump visit Pakistan in 2026? | Will Donald Trump visit France in 2026?",https://polymarket.com/profile/0xdaad6f960d507dba148c1ff908db5a28743169cc
17,chilling,0x5a181dcf3eb53a09fb32b20a5a9312fb8d26f689,,50781.102384,741105.841489,6.852,profitable in weather but currently/recently generalist,low,0,0,0,200,1,105,Will NASA record 2023 as the hottest year on record? (1.03°C or higher),Will Paul Giamatti win the Oscar for Best Actor? | Will Cillian Murphy win the Oscar for Best Actor? | WIF listed on Coinbase or Binance? | Will Trump appear on Maine primary ballot? | Trump margin of victory in New Hampshire Primary >15%,https://polymarket.com/profile/0x5a181dcf3eb53a09fb32b20a5a9312fb8d26f689
18,Poligarch,0xb40e89677d59665d5188541ad860450a6e2a7cc9,,50075.69891718317,6133466.340979001,0.816,weather specialist / weather-heavy,medium,100,63,24,200,180,15,Will the highest temperature in Chengdu be 31°C on April 25? | Will the highest temperature in Chengdu be 31°C on April 25? | Will the highest temperature in Chengdu be 30°C on April 25? | Will the highest temperature in Chengdu be 32°C on April 25? | Will the highest temperature in Chengdu be 32°C on April 25? | Will the highest temperature in Chengdu be 30°C on April 25? | Will the highest temperature in Hong Kong be 26°C on April 25? | Will the highest temperature in Paris be 23°C on April 25?,"Trump announces end of military operations against Iran by April 30th? | US x Iran permanent peace deal by May 31, 2026? | US x Iran diplomatic meeting by April 23, 2026? | US x Iran diplomatic meeting by April 27, 2026? | US x Iran diplomatic meeting by April 27, 2026?",https://polymarket.com/profile/0xb40e89677d59665d5188541ad860450a6e2a7cc9
19,Maskache2,0x1f66796b45581868376365aef54b51eb84184c8d,Mask4che,49971.26666375482,4620632.96957,1.081,weather specialist / weather-heavy,medium,100,96,1,200,198,0,Will the highest temperature in Hong Kong be 29°C or higher on April 5? | Will the highest temperature in Moscow be 11°C on March 30? | Will the highest temperature in Atlanta be between 62-63°F on April 6? | Will the highest temperature in Tokyo be 19°C on April 11? | Will the highest temperature in Seoul be 20°C on April 15? | Will the highest temperature in Hong Kong be 28°C on April 5? | Will the highest temperature in Seoul be 10°C on April 5? | Will the highest temperature in Seoul be 16°C or higher on March 26?,Will Robert F. Kennedy Jr. be the first to leave the Trump Cabinet before 2027?,https://polymarket.com/profile/0x1f66796b45581868376365aef54b51eb84184c8d
20,russell110320,0x118689b24aead1d6e9507b8068d056b2ec4f051b,,46787.65927249905,1370054.3825659999,3.415,weather specialist / weather-heavy,medium,13,6,0,200,127,0,Will global temperature increase by between 1.15ºC and 1.19ºC in April 2026? | Will global temperature increase by less than 1.10ºC in April 2026? | Will global temperature increase by between 1.25ºC and 1.29ºC in April 2026? | Will global temperature increase by more than 1.29ºC in April 2026? | Will global temperature increase by between 1.20ºC and 1.24ºC in April 2026? | Will global temperature increase by between 1.10ºC and 1.14ºC in April 2026? | Will global temperature increase by between 1.10ºC and 1.14ºC in April 2026? | Will global temperature increase by between 1.15ºC and 1.19ºC in April 2026?,,https://polymarket.com/profile/0x118689b24aead1d6e9507b8068d056b2ec4f051b
21,HenryTheAtmoPhD,0x57ee70867b4e387de9de34fd62bc685aa02a8112,,45558.17971614949,3188650.6468660003,1.429,weather specialist / weather-heavy,medium,49,29,3,200,183,0,Will the highest temperature in Hong Kong be 23°C on April 24? | Will the highest temperature in Seoul be 19°C on April 25? | Will the highest temperature in Hong Kong be 27°C on April 25? | Will the highest temperature in Seoul be 12°C on April 25? | Will the highest temperature in Seoul be 18°C on April 25? | Will the highest temperature in Seoul be 11°C or below on April 25? | Will the highest temperature in Seoul be 15°C on April 25? | Will the highest temperature in Seoul be 13°C on April 25?,Indian Premier League: Rajasthan Royals vs Sunrisers Hyderabad - Toss Match Double Rajasthan Royals Winner | Indian Premier League: Rajasthan Royals vs Sunrisers Hyderabad - Who wins the toss? | Indian Premier League: Delhi Capitals vs Royal Challengers Bengaluru - Completed match?,https://polymarket.com/profile/0x57ee70867b4e387de9de34fd62bc685aa02a8112
22,JoeTheMeteorologist,0x1838cca016850ac7185a9b149fe7d0bd2d6629b4,,44961.8557613632,2101745.4775980003,2.139,weather specialist / weather-heavy,medium,42,30,3,200,160,2,Will the highest temperature in Seoul be 19°C on April 25? | Will the highest temperature in Shenzhen be 19°C on April 24? | Will the highest temperature in Hong Kong be 24°C on April 24? | Will the highest temperature in Seoul be 12°C on April 25? | Will the highest temperature in Seoul be 18°C on April 25? | Will the highest temperature in Seoul be 11°C or below on April 25? | Will the highest temperature in Seoul be 15°C on April 25? | Will the highest temperature in Seoul be 13°C on April 25?,Indian Premier League: Delhi Capitals vs Royal Challengers Bengaluru - Toss Match Double Draw | Indian Premier League: Delhi Capitals vs Royal Challengers Bengaluru - Toss Match Double Delhi Capitals Winner | Will Alexander Volkanovski be ranked first in the UFC Pound-For-Pound Rankings at the end of 2026? | Will JD Vance win the 2028 US Presidential Election? | Will JD Vance win the 2028 US Presidential Election?,https://polymarket.com/profile/0x1838cca016850ac7185a9b149fe7d0bd2d6629b4
23,aboss,0xaaec89fcb2ff14b335ddd738edf355ac07038dc8,,38787.57505776774,1074084.5254280001,3.611,weather specialist / weather-heavy,medium,18,11,1,200,163,15,Will the highest temperature in London be between 64-65°F on June 5? | Will the highest temperature in London between 43-44°F on February 1? | Will the highest temperature in London be between 44-45°F on January 30? | Will the highest temperature in London between 45-46°F on February 1? | Will the highest temperature in London be 68°F or below on July 26? | Will the December 2024 temperature increase be between 1.30-1.34°C? | Will the December 2024 temperature increase be between 1.20-1.24°C? | Will the highest temperature in London be 71°F or higher on May 23?,"Will anyone audibly fart during tariff event on April 2? | Fed decreases interest rates by 25 bps after September 2025 meeting? | Will Trump say ""China"" 7+ times during his AI speech on July 23? | Will Trump say ""Hell"" 2+ times during his AI speech on July 23? | Will Trump say ""Nvidia"" during his AI speech on July 23?",https://polymarket.com/profile/0xaaec89fcb2ff14b335ddd738edf355ac07038dc8
24,9985,0x63a49a02c71d3a63f391878ec310dc81a524b5dc,,37107.724799999996,385980.0,9.614,weather-heavy mixed,low,9,1,3,200,4,64,Russia x Ukraine ceasefire before July? | Russia x Ukraine Ceasefire in March? | Russia x Ukraine ceasefire before July? | Russia x Ukraine Ceasefire in March? | Will the highest temperature in London be between 39-40°F on February 16?,"Fed decreases interest rates by 50+ bps after January 2026 meeting? | Will Ethereum hit $10,000 by December 31? | Will Trump deport 2,000,000 or more people? | Fed decreases interest rates by 50+ bps after January 2026 meeting? | Will Bitcoin reach $1,000,000 by December 31, 2025?",https://polymarket.com/profile/0x63a49a02c71d3a63f391878ec310dc81a524b5dc
25,ANudeEgg,0x62d2bcd198bb6eab8b7eeb9d2061815dc02b9eb7,,36270.19297133056,279088.18722,12.996,weather specialist / weather-heavy,medium,4,0,0,200,29,6,Trump ends Ukraine war in first 90 days? | Trump ends Ukraine war in first 90 days? | Trump ends Ukraine war in first 90 days? | Trump ends Ukraine war in first 90 days? | Trump ends Ukraine war in first 90 days? | Trump ends Ukraine war in first 90 days? | Trump ends Ukraine war before inauguration? | Trump ends Ukraine war before inauguration?,Will Trump issue 40 or more executive orders on Day 1? | US national Bitcoin reserve in 2025? | Will Kamala Harris attend presidential inauguration? | Will Trump issue 40 or more executive orders on Day 1? | Will Trump issue 40 or more executive orders on Day 1?,https://polymarket.com/profile/0x62d2bcd198bb6eab8b7eeb9d2061815dc02b9eb7
26,Shoemaker34,0x8093017f08d8492927eb3b43c8b87aeffe38b208,,33959.87039533079,511111.458832,6.644,weather specialist / weather-heavy,medium,29,15,7,145,87,41,Will the highest temperature in Seoul be 7°C on March 8? | Will the highest temperature in Seoul be 7°C or higher on March 6? | Will the highest temperature in Wellington be 18°C on March 9? | Will the highest temperature in Ankara be 8°C on March 7? | Will the highest temperature in Dallas be between 72-73°F on March 4? | Will the highest temperature in London be 17°C on March 2? | Will the highest temperature in London be 17°C on March 3? | Will the highest temperature in Wellington be 21°C or higher on February 21?,"Will the price of Ethereum be above $2,000 on March 1? | Will the price of Ethereum be between $1,800 and $1,900 on February 14? | Will the price of Ethereum be between $1,900 and $2,000 on February 18? | Will the price of Ethereum be between $2,000 and $2,100 on February 15? | Will the price of Bitcoin be between $66,000 and $68,000 on February 12?",https://polymarket.com/profile/0x8093017f08d8492927eb3b43c8b87aeffe38b208
27,1-800-LIQUIDITY,0x584eee598b341109592b985c1a253ab044fa090f,,33506.37383612122,908899.4738879997,3.686,weather specialist / weather-heavy,medium,0,0,0,200,69,41,Will the highest temperature in Seoul be 11°C on April 10? | Will the highest temperature in Seoul be 17°C or higher on April 10? | Will the highest temperature in Seoul be 15°C on April 10? | Will the highest temperature in Seoul be 16°C on April 10? | Will the highest temperature in Seoul be 10°C on April 10? | Will the highest temperature in Seoul be 10°C on April 10? | Will the highest temperature in Seoul be 10°C on April 10? | Will the highest temperature in Seoul be 10°C on April 10?,"Will Iran strike Iraq by April 30, 2026? | Will Iran strike Iraq by April 30, 2026? | Will Trump acquire Greenland before 2027? | Will Trump acquire Greenland before 2027? | Will Gavin Newsom win the 2028 Democratic presidential nomination?",https://polymarket.com/profile/0x584eee598b341109592b985c1a253ab044fa090f
28,protrade3,0x1c0f3e4c90a48e4dd93d0abcdf719a5a5f1599d0,,32941.93548438363,1406844.7054840003,2.342,weather specialist / weather-heavy,medium,30,28,2,200,175,4,Will the highest temperature in Hong Kong be 24°C on April 25? | Will the highest temperature in Hong Kong be 23°C on April 25? | Will the highest temperature in Madrid be 21°C on April 25? | Will the highest temperature in Singapore be 35°C on April 25? | Will the highest temperature in Seoul be 20°C on April 25? | Will the highest temperature in Wellington be 17°C on April 25? | Will the highest temperature in Busan be 26°C or higher on April 25? | Will the highest temperature in London be 19°C on April 25?,Will JD Vance win the 2028 US Presidential Election? | Will JD Vance win the 2028 US Presidential Election? | Will JD Vance win the 2028 US Presidential Election? | Will JD Vance win the 2028 US Presidential Election? | Will JD Vance win the 2028 US Presidential Election?,https://polymarket.com/profile/0x1c0f3e4c90a48e4dd93d0abcdf719a5a5f1599d0
29,Protrade2,0x4ffba5035905ddfd5e80db2fcbf83a7b4c62119d,,30685.50673582897,1536921.922768,1.997,weather specialist / weather-heavy,medium,7,3,2,200,151,8,Will the highest temperature in Shenzhen be 27°C on April 25? | Will the highest temperature in Shenzhen be 28°C on April 25? | Will the lowest temperature in Paris be 5°C on April 27? | Will the lowest temperature in Paris be 5°C on April 27? | Will the highest temperature in Paris be 19°C on April 22? | Will the highest temperature in New York City be between 56-57°F on April 22? | Will the highest temperature in Istanbul be 10°C on April 22? | Will the highest temperature in Istanbul be 11°C on April 22?,Will JD Vance win the 2028 US Presidential Election? | Will JD Vance win the 2028 US Presidential Election? | Will JD Vance win the 2028 US Presidential Election? | Will JD Vance win the 2028 US Presidential Election? | Will JD Vance win the 2028 US Presidential Election?,https://polymarket.com/profile/0x4ffba5035905ddfd5e80db2fcbf83a7b4c62119d
30,neobrother,0x6297b93ea37ff92a57fd636410f3b71ebf74517e,spydenuevo,30684.458508702905,1713245.9320220002,1.791,weather specialist / weather-heavy,medium,16,16,0,200,200,0,Will the highest temperature in Moscow be 12°C on April 25? | Will the highest temperature in Moscow be 12°C on April 26? | Will the highest temperature in Moscow be 11°C on April 25? | Will the highest temperature in Atlanta be between 80-81°F on April 25? | Will the highest temperature in Moscow be 10°C on April 25? | Will the highest temperature in Hong Kong be 20°C on April 24? | Will the highest temperature in Miami be between 86-87°F on April 25? | Will the highest temperature in Miami be between 88-89°F on April 25?,,https://polymarket.com/profile/0x6297b93ea37ff92a57fd636410f3b71ebf74517e
31,Nowhere-Man,0x45580feac3b916a88b7513929e26f86b3adea2b3,,30410.336522365626,971806.58968,3.129,weather-heavy mixed,low,19,0,4,200,50,63,Will Ukraine agree to cede territory to Russia in 2025? | Will Ukraine agree to cede territory to Russia in 2025? | US recognizes Russian sovereignty over Ukraine? | US recognizes Russian sovereignty over Ukraine? | Will Ukraine agree to cede territory to Russia in 2025? | Will Ukraine agree to cede territory to Russia in 2025? | Will Ukraine agree to cede territory to Russia in 2025? | Will Ukraine agree to cede territory to Russia in 2025?,"Will France, UK, or Germany strike Iran by June 30? | Will UK strike Iran by April 30? | Trump announces end of military operations against Iran by April 30th? | Will Germany strike Iran by April 30? | Trump announces end of military operations against Iran by April 30th?",https://polymarket.com/profile/0x45580feac3b916a88b7513929e26f86b3adea2b3
32,NoonienSoong,0x38cc1d1f95d12039324809d8bb6ca6da6cbef88e,,30261.126102115253,5510291.791523,0.549,weather specialist / weather-heavy,medium,0,0,0,200,191,0,Will the highest temperature in San Francisco be between 60-61°F on April 24? | Will the highest temperature in Miami be between 80-81°F on April 24? | Will the highest temperature in San Francisco be between 60-61°F on April 24? | Will the highest temperature in Miami be between 80-81°F on April 24? | Will the highest temperature in Miami be between 80-81°F on April 24? | Will the highest temperature in New York City be between 60-61°F on April 24? | Will the highest temperature in Shenzhen be 19°C on April 24? | Will the highest temperature in New York City be between 60-61°F on April 24?,,https://polymarket.com/profile/0x38cc1d1f95d12039324809d8bb6ca6da6cbef88e
33,khalidakup,0x97eb7ddf9139a3db0be99e81217e20546e219fbe,,29585.79062527351,1994067.6315390004,1.484,weather specialist / weather-heavy,medium,3,0,3,200,169,2,"Will the highest temperature in London be 16°C on April 6? | Will the highest temperature in London be 16°C on April 6? | Will the highest temperature in Moscow be 14°C or higher on April 4? | Will the highest temperature in Dallas be between 74-75°F on April 4? | Will the highest temperature in Dallas be between 74-75°F on April 4? | Ukraine strikes another tanker in Black Sea by March 31, 2026? | Will the highest temperature in Taipei be 30°C on April 3? | Will the highest temperature in Taipei be 32°C on April 3?",Will Trump talk to Xi Jinping in March? | Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination?,https://polymarket.com/profile/0x97eb7ddf9139a3db0be99e81217e20546e219fbe
